"ID","TOKEN","IS_STOP"
"1","Παῦλος","FALSE"
"2","κλητὸς","FALSE"
"3","ἀπόστολος","FALSE"
"4","Χριστοῦ","FALSE"
"5","Ἰησοῦ","FALSE"
"6","διὰ","TRUE"
"7","θελήματος","FALSE"
"8","θεοῦ","FALSE"
"9","καὶ","TRUE"
"10","Σωσθένης","FALSE"
"11","ὁ","TRUE"
"12","ἀδελφὸς","FALSE"
"13","τῇ","TRUE"
"14","ἐκκλησίᾳ","FALSE"
"15","τοῦ","TRUE"
"16","θεοῦ","FALSE"
"17",",","FALSE"
"18","ἡγιασμένοις","FALSE"
"19","ἐν","TRUE"
"20","Χριστῷ","FALSE"
"21","Ἰησοῦ","FALSE"
"22",",","FALSE"
"23","τῇ","TRUE"
"24","οὔσῃ","FALSE"
"25","ἐν","TRUE"
"26","Κορίνθῳ","FALSE"
"27",",","FALSE"
"28","κλητοῖς","FALSE"
"29","ἁγίοις","FALSE"
"30",",","FALSE"
"31","σὺν","TRUE"
"32","πᾶσιν","FALSE"
"33","τοῖς","TRUE"
"34","ἐπικαλουμένοις","FALSE"
"35","τὸ","TRUE"
"36","ὄνομα","FALSE"
"37","τοῦ","TRUE"
"38","κυρίου","FALSE"
"39","ἡμῶν","TRUE"
"40","Ἰησοῦ","FALSE"
"41","Χριστοῦ","FALSE"
"42","ἐν","TRUE"
"43","παντὶ","FALSE"
"44","τόπῳ","FALSE"
"45","αὐτῶν","TRUE"
"46","καὶ","TRUE"
"47","ἡμῶν","TRUE"
"48","·","FALSE"
"49","χάρις","FALSE"
"50","ὑμῖν","TRUE"
"51","καὶ","TRUE"
"52","εἰρήνη","FALSE"
"53","ἀπὸ","TRUE"
"54","θεοῦ","FALSE"
"55","πατρὸς","FALSE"
"56","ἡμῶν","TRUE"
"57","καὶ","TRUE"
"58","κυρίου","FALSE"
"59","Ἰησοῦ","FALSE"
"60","Χριστοῦ","FALSE"
"61",".","FALSE"
"62","Εὐχαριστῶ","FALSE"
"63","τῷ","TRUE"
"64","θεῷ","FALSE"
"65","μου","TRUE"
"66","πάντοτε","FALSE"
"67","περὶ","TRUE"
"68","ὑμῶν","TRUE"
"69","ἐπὶ","TRUE"
"70","τῇ","TRUE"
"71","χάριτι","FALSE"
"72","τοῦ","TRUE"
"73","θεοῦ","FALSE"
"74","τῇ","TRUE"
"75","δοθείσῃ","FALSE"
"76","ὑμῖν","TRUE"
"77","ἐν","TRUE"
"78","Χριστῷ","FALSE"
"79","Ἰησοῦ","FALSE"
"80",",","FALSE"
"81","ὅτι","TRUE"
"82","ἐν","TRUE"
"83","παντὶ","FALSE"
"84","ἐπλουτίσθητε","FALSE"
"85","ἐν","TRUE"
"86","αὐτῷ","TRUE"
"87",",","FALSE"
"88","ἐν","TRUE"
"89","παντὶ","FALSE"
"90","λόγῳ","FALSE"
"91","καὶ","TRUE"
"92","πάσῃ","FALSE"
"93","γνώσει","FALSE"
"94",",","FALSE"
"95","καθὼς","FALSE"
"96","τὸ","TRUE"
"97","μαρτύριον","FALSE"
"98","τοῦ","TRUE"
"99","Χριστοῦ","FALSE"
"100","ἐβεβαιώθη","FALSE"
"101","ἐν","TRUE"
"102","ὑμῖν","TRUE"
"103",",","FALSE"
"104","ὥστε","TRUE"
"105","ὑμᾶς","TRUE"
"106","μὴ","TRUE"
"107","ὑστερεῖσθαι","FALSE"
"108","ἐν","TRUE"
"109","μηδενὶ","FALSE"
"110","χαρίσματι","FALSE"
"111",",","FALSE"
"112","ἀπεκδεχομένους","FALSE"
"113","τὴν","TRUE"
"114","ἀποκάλυψιν","FALSE"
"115","τοῦ","TRUE"
"116","κυρίου","FALSE"
"117","ἡμῶν","TRUE"
"118","Ἰησοῦ","FALSE"
"119","Χριστοῦ","FALSE"
"120","·","FALSE"
"121","ὃς","TRUE"
"122","καὶ","TRUE"
