"ID","TOKEN","NER"
"1","Παῦλος","PERSON"
"2","ἀπόστολος","O"
"3","Χριστοῦ","LOC"
"4","Ἰησοῦ","LOC"
"5","διὰ","O"
"6","θελήματος","O"
"7","θεοῦ","O"
"8","καὶ","O"
"9","Τιμόθεος","PERSON"
"10","ὁ","O"
"11","ἀδελφὸς","O"
"12","τῇ","O"
"13","ἐκκλησίᾳ","O"
"14","τοῦ","O"
"15","θεοῦ","O"
"16","τῇ","O"
"17","οὔσῃ","O"
"18","ἐν","O"
"19","Κορίνθῳ","LOC"
"20",",","O"
"21","σὺν","O"
"22","τοῖς","O"
"23","ἁγίοις","O"
"24","πᾶσιν","O"
"25","τοῖς","O"
"26","οὖσιν","O"
"27","ἐν","O"
"28","ὅλῃ","O"
"29","τῇ","O"
"30","Ἀχαΐᾳ","LOC"
"31","·","O"
"32","χάρις","O"
"33","ὑμῖν","O"
"34","καὶ","O"
"35","εἰρήνη","O"
"36","ἀπὸ","O"
"37","θεοῦ","O"
"38","πατρὸς","O"
"39","ἡμῶν","O"
"40","καὶ","O"
"41","κυρίου","O"
"42","Ἰησοῦ","LOC"
"43","Χριστοῦ","LOC"
"44",".","O"
"45","Εὐλογητὸς","O"
"46","ὁ","O"
"47","θεὸς","O"
"48","καὶ","O"
"49","πατὴρ","O"
"50","τοῦ","O"
"51","κυρίου","O"
"52","ἡμῶν","O"
"53","Ἰησοῦ","LOC"
"54","Χριστοῦ","LOC"
"55",",","O"
"56","ὁ","O"
"57","πατὴρ","O"
"58","τῶν","O"
"59","οἰκτιρμῶν","O"
"60","καὶ","O"
"61","θεὸς","O"
"62","πάσης","O"
"63","παρακλήσεως","O"
"64",",","O"
"65","ὁ","O"
"66","παρακαλῶν","O"
"67","ἡμᾶς","O"
"68","ἐπὶ","O"
"69","πάσῃ","O"
"70","τῇ","O"
"71","θλίψει","O"
"72","ἡμῶν","O"
"73",",","O"
"74","εἰς","O"
"75","τὸ","O"
"76","δύνασθαι","O"
"77","ἡμᾶς","O"
"78","παρακαλεῖν","O"
"79","τοὺς","O"
"80","ἐν","O"
"81","πάσῃ","O"
"82","θλίψει","O"
"83","διὰ","O"
"84","τῆς","O"
"85","παρακλήσεως","O"
"86","ἧς","O"
"87","παρακαλούμεθα","O"
"88","αὐτοὶ","O"
"89","ὑπὸ","O"
"90","τοῦ","O"
"91","θεοῦ","O"
"92",".","O"
"93","ὅτι","O"
"94","καθὼς","O"
"95","περισσεύει","O"
"96","τὰ","O"
"97","παθήματα","O"
"98","τοῦ","O"
"99","Χριστοῦ","O"
"100","εἰς","O"
"101","ἡμᾶς","O"
"102",",","O"
"103","οὕτως","O"
"104","διὰ","O"
"105","τοῦ","O"
"106","Χριστοῦ","O"
"107","περισσεύει","O"
"108","καὶ","O"
"109","ἡ","O"
"110","παράκλησις","O"
"111","ἡμῶν","O"
"112",".","O"
"113","εἴτε","O"
"114","δὲ","O"
"115","θλιβόμεθα","O"
"116",",","O"
"117","ὑπὲρ","O"
"118","τῆς","O"
"119","ὑμῶν","O"
"120","παρακλήσεως","O"
"121","καὶ","O"
"122","σωτηρίας","O"
"123","·","O"
"124","εἴτε","O"
"125","παρακαλούμεθα","O"
"126",",","O"
"127","ὑπὲρ","O"
"128","τῆς","O"
"129","ὑμῶν","O"
"130","παρακλήσεως","O"
"131","τῆς","O"
"132","ἐνεργουμένης","O"
"133","ἐν","O"
"134","ὑπομονῇ","O"
"135","τῶν","O"
"136","αὐτῶν","O"
"137","παθημάτων","O"
"138","ὧν","O"
"139","καὶ","O"
"140","ἡμεῖς","O"
"141","πάσχομεν","O"
"142",",","O"
"143","καὶ","O"
"144","ἡ","O"
"145","ἐλπὶς","O"
"146","ἡμῶν","O"
"147","βεβαία","O"
"148","ὑπὲρ","O"
"149","ὑμῶν","O"
"150","·","O"
"151","εἰδότες","O"
"152","ὅτι","O"
"153","ὡς","O"
"154","κοινωνοί","O"
"155","ἐστε","O"
"156","τῶν","O"
"157","παθημάτων","O"
"158",",","O"
"159","οὕτως","O"
"160","καὶ","O"
"161","τῆς","O"
"162","παρακλήσεως","O"
"163",".","O"
"164","Οὐ","O"
"165","γὰρ","O"
"166","θέλομεν","O"
"167","ὑμᾶς","O"
"168","ἀγνοεῖν","O"
"169",",","O"
"170","ἀδελφοί","O"
"171",",","O"
"172","ὑπὲρ","O"
"173","τῆς","O"
"174","θλίψεως","O"
"175","ἡμῶν","O"
"176","τῆς","O"
"177","γενομένης","O"
"178","ἐν","O"
"179","τῇ","O"
"180","Ἀσίᾳ","LOC"
"181",",","O"
"182","ὅτι","O"
"183","καθʼ","O"
"184","ὑπερβολὴν","O"
"185","ὑπὲρ","O"
"186","δύναμιν","O"
"187","ἐβαρήθημεν","O"
"188",",","O"
"189","ὥστε","O"
"190","ἐξαπορηθῆναι","O"
"191","ἡμᾶς","O"
"192","καὶ","O"
"193","τοῦ","O"
"194","ζῆν","O"
"195","·","O"
"196","ἀλλὰ","O"
"197","αὐτοὶ","O"
"198","ἐν","O"
"199","ἑαυτοῖς","O"
"200","τὸ","O"
"201","ἀπόκριμα","O"
