"ID","TOKEN","LEMMA"
"1","Συμεὼν","Συμεών"
"2","Πέτρος","Πέτρος"
"3","δοῦλος","δοῦλος"
"4","καὶ","καί"
"5","ἀπόστολος","ἀπόστολος"
"6","Ἰησοῦ","Ἰησοῦς"
"7","Χριστοῦ","Χριστός"
"8","τοῖς","ὁ"
"9","ἰσότιμον","ἰσότιμος"
"10","ἡμῖν","ἡμεῖς"
"11","λαχοῦσιν","λαχέω"
"12","πίστιν","πίστις"
"13","ἐν","ἐν"
"14","δικαιοσύνῃ","δικαιοσύνη"
"15","τοῦ","ὁ"
"16","θεοῦ","θεός"
"17","ἡμῶν","ἡμεῖς"
"18","καὶ","καί"
"19","σωτῆρος","σωτήρ"
"20","Ἰησοῦ","Ἰησοῦς"
"21","Χριστοῦ","Χριστός"
"22","·","·"
"23","χάρις","χάρις"
"24","ὑμῖν","ὑμεῖς"
"25","καὶ","καί"
"26","εἰρήνη","εἰρήνη"
"27","πληθυνθείη","πληθύνω"
"28","ἐν","ἐν"
"29","ἐπιγνώσει","ἐπίγνωσις"
"30","τοῦ","ὁ"
"31","θεοῦ","θεός"
"32","καὶ","καί"
"33","Ἰησοῦ","Ἰησοῦς"
"34","τοῦ","ὁ"
"35","κυρίου","κύριος"
"36","ἡμῶν","ἡμεῖς"
"37",".","."
"38","Ὡς","ὡς"
"39","πάντα","πᾶς"
"40","ἡμῖν","ἡμεῖς"
"41","τῆς","ὁ"
"42","θείας","θεῖος"
"43","δυνάμεως","δύναμις"
"44","αὐτοῦ","αὐτός"
"45","τὰ","ὁ"
"46","πρὸς","πρός"
"47","ζωὴν","ζωή"
"48","καὶ","καί"
"49","εὐσέβειαν","εὐσέβεια"
"50","δεδωρημένης","δεδωρημένη"
"51","διὰ","διά"
"52","τῆς","ὁ"
"53","ἐπιγνώσεως","ἐπίγνωσις"
"54","τοῦ","ὁ"
"55","καλέσαντος","καλέω"
"56","ἡμᾶς","ἡμεῖς"
"57","ἰδίᾳ","ἴδιος"
"58","δόξῃ","δόξα"
"59","καὶ","καί"
"60","ἀρετῇ","ἀρετή"
"61",",",","
"62","διʼ","διά"
"63","ὧν","ὅς"
"64","τὰ","ὁ"
"65","τίμια","τίμιος"
"66","καὶ","καί"
"67","μέγιστα","μέγας"
"68","ἡμῖν","ἡμεῖς"
"69","ἐπαγγέλματα","ἐπάγγελμα"
"70","δεδώρηται","δωρέω"
"71",",",","
"72","ἵνα","ἵνα"
"73","διὰ","διά"
"74","τούτων","οὗτος"
"75","γένησθε","γίγνομαι"
"76","θείας","θεῖος"
"77","κοινωνοὶ","κοινωνός"
"78","φύσεως","φύσις"
"79",",",","
"80","ἀποφυγόντες","ἀποφυγόντες"
"81","τῆς","ὁ"
"82","ἐν","ἐν"
"83","τῷ","ὁ"
"84","κόσμῳ","κόσμος"
"85","ἐν","ἐν"
"86","ἐπιθυμίᾳ","ἐπιθυμία"
"87","φθορᾶς","φθορά"
"88",".","."
"89","καὶ","καί"
"90","αὐτὸ","αὐτός"
"91","τοῦτο","οὗτος"
"92","δὲ","δέ"
"93","σπουδὴν","σπουδή"
"94","πᾶσαν","πᾶς"
"95","παρεισενέγκαντες","παρεισενέγκαντες"
"96","ἐπιχορηγήσατε","πιχορηγέω"
"97","ἐν","ἐν"
"98","τῇ","ὁ"
"99","πίστει","πίστις"
"100","ὑμῶν","ὑμεῖς"
"101","τὴν","ὁ"
"102","ἀρετήν","ἀρετή"
"103",",",","
"104","ἐν","ἐν"
"105","δὲ","δέ"
"106","τῇ","ὁ"
"107","ἀρετῇ","ἀρετή"
"108","τὴν","ὁ"
