"ID","TOKEN","UPOS"
"1","Ἰάκωβος","PROPN"
"2","θεοῦ","NOUN"
"3","καὶ","CCONJ"
"4","κυρίου","NOUN"
"5","Ἰησοῦ","PROPN"
"6","Χριστοῦ","PROPN"
"7","δοῦλος","NOUN"
"8","ταῖς","DET"
"9","δώδεκα","NUM"
"10","φυλαῖς","NOUN"
"11","ταῖς","DET"
"12","ἐν","ADP"
"13","τῇ","DET"
"14","διασπορᾷ","NOUN"
"15","χαίρειν","VERB"
"16",".","PUNCT"
"17","Πᾶσαν","DET"
"18","χαρὰν","NOUN"
"19","ἡγήσασθε","VERB"
"20",",","PUNCT"
"21","ἀδελφοί","NOUN"
"22","μου","PRON"
"23",",","PUNCT"
"24","ὅταν","ADV"
"25","πειρασμοῖς","NOUN"
"26","περιπέσητε","VERB"
"27","ποικίλοις","ADJ"
"28",",","PUNCT"
"29","γινώσκοντες","VERB"
"30","ὅτι","SCONJ"
"31","τὸ","DET"
"32","δοκίμιον","NOUN"
"33","ὑμῶν","PRON"
"34","τῆς","DET"
"35","πίστεως","NOUN"
"36","κατεργάζεται","VERB"
"37","ὑπομονήν","NOUN"
"38","·","PUNCT"
"39","ἡ","DET"
"40","δὲ","ADV"
"41","ὑπομονὴ","NOUN"
"42","ἔργον","NOUN"
"43","τέλειον","ADJ"
"44","ἐχέτω","VERB"
"45",",","PUNCT"
"46","ἵνα","SCONJ"
"47","ἦτε","AUX"
"48","τέλειοι","ADJ"
"49","καὶ","CCONJ"
"50","ὁλόκληροι","ADJ"
"51",",","PUNCT"
"52","ἐν","ADP"
"53","μηδενὶ","ADJ"
"54","λειπόμενοι","VERB"
"55",".","PUNCT"
"56","Εἰ","SCONJ"
"57","δέ","ADV"
"58","τις","ADJ"
"59","ὑμῶν","PRON"
"60","λείπεται","VERB"
"61","σοφίας","NOUN"
"62",",","PUNCT"
"63","αἰτείτω","VERB"
"64","παρὰ","ADP"
"65","τοῦ","DET"
"66","διδόντος","VERB"
"67","θεοῦ","NOUN"
"68","πᾶσιν","ADJ"
"69","ἁπλῶς","ADV"
"70","καὶ","CCONJ"
"71","μὴ","ADV"
"72","ὀνειδίζοντος","VERB"
"73",",","PUNCT"
"74","καὶ","CCONJ"
"75","δοθήσεται","VERB"
"76","αὐτῷ","PRON"
"77","·","PUNCT"
"78","αἰτείτω","VERB"
"79","δὲ","ADV"
"80","ἐν","ADP"
"81","πίστει","NOUN"
"82",",","PUNCT"
"83","μηδὲν","ADJ"
"84","διακρινόμενος","VERB"
"85",",","PUNCT"
"86","ὁ","DET"
"87","γὰρ","ADV"
"88","διακρινόμενος","VERB"
"89","ἔοικεν","VERB"
"90","κλύδωνι","NOUN"
"91","θαλάσσης","NOUN"
"92","ἀνεμιζομένῳ","VERB"
"93","καὶ","CCONJ"
"94","ῥιπιζομένῳ","VERB"
