"ID","TOKEN","IS_PUNCT"
"1","Ἐπειδήπερ","FALSE"
"2","πολλοὶ","FALSE"
"3","ἐπεχείρησαν","FALSE"
"4","ἀνατάξασθαι","FALSE"
"5","διήγησιν","FALSE"
"6","περὶ","FALSE"
"7","τῶν","FALSE"
"8","πεπληροφορημένων","FALSE"
"9","ἐν","FALSE"
"10","ἡμῖν","FALSE"
"11","πραγμάτων","FALSE"
"12",",","TRUE"
"13","καθὼς","FALSE"
"14","παρέδοσαν","FALSE"
"15","ἡμῖν","FALSE"
"16","οἱ","FALSE"
"17","ἀπʼ","FALSE"
"18","ἀρχῆς","FALSE"
"19","αὐτόπται","FALSE"
"20","καὶ","FALSE"
"21","ὑπηρέται","FALSE"
"22","γενόμενοι","FALSE"
"23","τοῦ","FALSE"
"24","λόγου","FALSE"
"25",",","TRUE"
"26","ἔδοξε","FALSE"
"27","κἀμοὶ","FALSE"
"28","παρηκολουθηκότι","FALSE"
"29","ἄνωθεν","FALSE"
"30","πᾶσιν","FALSE"
"31","ἀκριβῶς","FALSE"
"32","καθεξῆς","FALSE"
"33","σοι","FALSE"
"34","γράψαι","FALSE"
"35",",","TRUE"
"36","κράτιστε","FALSE"
"37","Θεόφιλε","FALSE"
"38",",","TRUE"
"39","ἵνα","FALSE"
"40","ἐπιγνῷς","FALSE"
"41","περὶ","FALSE"
"42","ὧν","FALSE"
"43","κατηχήθης","FALSE"
"44","λόγων","FALSE"
"45","τὴν","FALSE"
"46","ἀσφάλειαν","FALSE"
"47",".","TRUE"
"48","Ἐγένετο","FALSE"
"49","ἐν","FALSE"
"50","ταῖς","FALSE"
"51","ἡμέραις","FALSE"
"52","Ἡρῴδου","FALSE"
"53","βασιλέως","FALSE"
"54","τῆς","FALSE"
"55","Ἰουδαίας","FALSE"
"56","ἱερεύς","FALSE"
"57","τις","FALSE"
"58","ὀνόματι","FALSE"
"59","Ζαχαρίας","FALSE"
"60","ἐξ","FALSE"
"61","ἐφημερίας","FALSE"
"62","Ἀβιά","FALSE"
"63",",","TRUE"
"64","καὶ","FALSE"
"65","γυνὴ","FALSE"
"66","αὐτῷ","FALSE"
"67","ἐκ","FALSE"
"68","τῶν","FALSE"
"69","θυγατέρων","FALSE"
"70","Ἀαρών","FALSE"
"71",",","TRUE"
"72","καὶ","FALSE"
"73","τὸ","FALSE"
"74","ὄνομα","FALSE"
"75","αὐτῆς","FALSE"
"76","Ἐλισάβετ","FALSE"
"77",".","TRUE"
"78","ἦσαν","FALSE"
"79","δὲ","FALSE"
"80","δίκαιοι","FALSE"
"81","ἀμφότεροι","FALSE"
"82","ἐναντίον","FALSE"
"83","τοῦ","FALSE"
"84","θεοῦ","FALSE"
"85",",","TRUE"
"86","πορευόμενοι","FALSE"
"87","ἐν","FALSE"
"88","πάσαις","FALSE"
"89","ταῖς","FALSE"
"90","ἐντολαῖς","FALSE"
"91","καὶ","FALSE"
"92","δικαιώμασιν","FALSE"
"93","τοῦ","FALSE"
"94","κυρίου","FALSE"
"95","ἄμεμπτοι","FALSE"
"96",".","TRUE"
"97","καὶ","FALSE"
"98","οὐκ","FALSE"
"99","ἦν","FALSE"
"100","αὐτοῖς","FALSE"
"101","τέκνον","FALSE"
"102",",","TRUE"
"103","καθότι","FALSE"
"104","ἦν","FALSE"
"105","ἡ","FALSE"
"106","Ἐλισάβετ","FALSE"
"107","στεῖρα","FALSE"
"108",",","TRUE"
"109","καὶ","FALSE"
"110","ἀμφότεροι","FALSE"
"111","προβεβηκότες","FALSE"
"112","ἐν","FALSE"
