"ID","TOKEN","IS_PUNCT"
"1",".,,","TRUE"
"2",".","TRUE"
"3",",","TRUE"
"4",".","TRUE"
"5",",,","TRUE"
"6",".","TRUE"
"7",",.","TRUE"
"8","α,","FALSE"
"9",".","TRUE"
"10",",,","TRUE"
"11",".","TRUE"
"12",",.;.","TRUE"
"13",",","TRUE"
"14","β,.;;;;;;;;;,,.","FALSE"
"15",",","TRUE"
"16","α,.","FALSE"
"17","Οἱ","FALSE"
"18","σοφώτατοι","FALSE"
"19","Αἰγύπτιοι","FALSE"
"20",",","TRUE"
"21","θεῶν","FALSE"
"22","ἀπόγονοι","FALSE"
"23",",","TRUE"
"24","γῆς","FALSE"
"25","μέτρα","FALSE"
"26","καταλαβόμενοι","FALSE"
"27",",","TRUE"
"28","θαλάσσης","FALSE"
"29","κύματα","FALSE"
"30","ἡμερωσάμενοι","FALSE"
"31",",","TRUE"
"32","ποταμὸν","FALSE"
"33","Νεῖλον","FALSE"
"34","διαμετρησάμενοι","FALSE"
"35",",","TRUE"
"36","οὐρανοῦ","FALSE"
"37","ἀστροθεσίαν","FALSE"
"38","διαψηφισάμενοι","FALSE"
"39",",","TRUE"
"40","παραδεδώκασι","FALSE"
"41","τῇ","FALSE"
"42","οἰκουμένῃ","FALSE"
"43","ἐπικράτειαν","FALSE"
"44","ἀλκὴν","FALSE"
"45","λόγου","FALSE"
"46",",","TRUE"
"47","εὕρεσιν","FALSE"
"48","μαγικῆς","FALSE"
"49","δυνάμεως","FALSE"
"50",".","TRUE"
"51","φασὶ","FALSE"
"52","γὰρ","FALSE"
"53","τὸν","FALSE"
"54","Νεκτανεβώ","FALSE"
"55",",","TRUE"
"56","τὸν","FALSE"
"57","τελευταῖον","FALSE"
"58","τῆς","FALSE"
"59","Αἰγύπτου","FALSE"
"60","βασιλέα","FALSE"
"61",",","TRUE"
"62","μεθ","FALSE"
"63","´","FALSE"
"64","ὃν","FALSE"
"65","ἡ","FALSE"
"66","Αἴγυπτος","FALSE"
"67","ἐξέπεσε","FALSE"
"68","τῆς","FALSE"
"69","τοιαύτης","FALSE"
"70","τιμῆς","FALSE"
"71",",","TRUE"
"72","τῇ","FALSE"
"73","μαγικῇ","FALSE"
"74","δυνάμει","FALSE"
"75","πάντων","FALSE"
"76","περιγενέσθαι","FALSE"
"77",".","TRUE"
"78","τὰ","FALSE"
"79","γὰρ","FALSE"
"80","κοσμικὰ","FALSE"
"81","στοιχεῖα","FALSE"
"82","λόγῳ","FALSE"
"83","πάντα","FALSE"
"84","αὑτῷ","FALSE"
"85","ὑπετάσσετο","FALSE"
"86","·","TRUE"
"87","εἰ","FALSE"
"88","γὰρ","FALSE"
"89","αἰφνιδίως","FALSE"
"90","πολέμου","FALSE"
"91","νέφος","FALSE"
"92","ἐπεληλύθει","FALSE"
"93",",","TRUE"
"94","οὐκ","FALSE"
"95","ἔσκυλλε","FALSE"
"96","στρατόπεδον","FALSE"
"97","οὐδὲ","FALSE"
"98","ὅπλων","FALSE"
"99","πομπεύματα","FALSE"
"100","οὐδὲ","FALSE"
"101","σιδήρου","FALSE"
"102","ἀκονήματα","FALSE"
"103","οὐδὲ","FALSE"
"104","πολεμικὰ","FALSE"
"105","μηχανήματα","FALSE"
"106",",","TRUE"
"107","ἀλλ","FALSE"
"108","´","FALSE"
"109","εἰσήρχετο","FALSE"
"110","εἰς","FALSE"
"111","τὰ","FALSE"
"112","βασίλεια","FALSE"
"113","καὶ","FALSE"
"114","ἐλάμβανε","FALSE"
