"ID","TOKEN","LEMMA"
"1",".,,",".,,"
"2",".","."
"3",",",","
"4",".","."
"5",",,",",,"
"6",".","."
"7",",.",",."
"8","α,","α,"
"9",".","."
"10",",,",",,"
"11",".","."
"12",",.;.",",.;."
"13",",",","
"14","β,.;;;;;;;;;,,.","β,.;;;;;;;;;,,."
"15",",",","
"16","α,.","α,."
"17","Οἱ","ὁ"
"18","σοφώτατοι","σοφός"
"19","Αἰγύπτιοι","Αἰγύπτιος"
"20",",",","
"21","θεῶν","θεός"
"22","ἀπόγονοι","ἀπόγονος"
"23",",",","
"24","γῆς","γῆ"
"25","μέτρα","μέτρον"
"26","καταλαβόμενοι","καταλαμβάνω"
"27",",",","
"28","θαλάσσης","θάλασσα"
"29","κύματα","κῦμα"
"30","ἡμερωσάμενοι","ἡμερωσάμενοι"
"31",",",","
"32","ποταμὸν","ποταμός"
"33","Νεῖλον","Νεῖλος"
"34","διαμετρησάμενοι","διαμετρέω"
"35",",",","
"36","οὐρανοῦ","οὐρανός"
"37","ἀστροθεσίαν","ἀστροθεσία"
"38","διαψηφισάμενοι","διαψηφισάμενω"
"39",",",","
"40","παραδεδώκασι","παραδίδωμι"
"41","τῇ","ὁ"
"42","οἰκουμένῃ","οἰκουμένη"
"43","ἐπικράτειαν","ἐπικράτεια"
"44","ἀλκὴν","ἀλκή"
"45","λόγου","λόγος"
"46",",",","
"47","εὕρεσιν","εὕρεσις"
"48","μαγικῆς","μαγικός"
"49","δυνάμεως","δύναμις"
"50",".","."
"51","φασὶ","φημί"
"52","γὰρ","γάρ"
"53","τὸν","ὁ"
"54","Νεκτανεβώ","Νεκτανεβώ"
"55",",",","
"56","τὸν","ὁ"
"57","τελευταῖον","τελευταῖος"
"58","τῆς","ὁ"
"59","Αἰγύπτου","Αἴγυπτος"
"60","βασιλέα","βασιλεύς"
"61",",",","
"62","μεθ","μημθ"
"63","´","´"
"64","ὃν","ὅς"
"65","ἡ","ὁ"
"66","Αἴγυπτος","Αἴγυπτος"
"67","ἐξέπεσε","ἐκπίπτω"
"68","τῆς","ὁ"
"69","τοιαύτης","τοιοῦτος"
"70","τιμῆς","τιμή"
"71",",",","
"72","τῇ","ὁ"
"73","μαγικῇ","μαγικός"
"74","δυνάμει","δύναμις"
"75","πάντων","πᾶς"
"76","περιγενέσθαι","περιγίγνομαι"
"77",".","."
"78","τὰ","ὁ"
"79","γὰρ","γάρ"
"80","κοσμικὰ","κοσμικός"
"81","στοιχεῖα","στοιχεῖον"
"82","λόγῳ","λόγος"
"83","πάντα","πᾶς"
"84","αὑτῷ","ἑαυτοῦ"
"85","ὑπετάσσετο","ὑπετάσσετο"
"86","·","·"
"87","εἰ","εἰ"
"88","γὰρ","γάρ"
"89","αἰφνιδίως","αἰφνίδιος"
"90","πολέμου","πόλεμος"
"91","νέφος","νέφος"
"92","ἐπεληλύθει","ἐπεληλύθος"
"93",",",","
"94","οὐκ","οὐ"
"95","ἔσκυλλε","ἔσκυλλε"
"96","στρατόπεδον","στρατόπεδον"
"97","οὐδὲ","οὐδέ"
"98","ὅπλων","ὅπλον"
"99","πομπεύματα","πομπεύμα"
"100","οὐδὲ","οὐδέ"
"101","σιδήρου","σίδηρος"
"102","ἀκονήματα","ἀκονήματα"
"103","οὐδὲ","οὐδέ"
"104","πολεμικὰ","πολεμικός"
"105","μηχανήματα","μηχάνημα"
"106",",",","
"107","ἀλλ","ἀλλ"
"108","´","´"
"109","εἰσήρχετο","εἰσήρχετο"
"110","εἰς","εἰς"
"111","τὰ","ὁ"
