"ID","TOKEN","IS_STOP"
"1",".,,","FALSE"
"2",".","FALSE"
"3",",","FALSE"
"4",".","FALSE"
"5",",,","FALSE"
"6",".","FALSE"
"7",",.","FALSE"
"8","α,","FALSE"
"9",".","FALSE"
"10",",,","FALSE"
"11",".","FALSE"
"12",",.;.","FALSE"
"13",",","FALSE"
"14","β,.;;;;;;;;;,,.","FALSE"
"15",",","FALSE"
"16","α,.","FALSE"
"17","Οἱ","TRUE"
"18","σοφώτατοι","FALSE"
"19","Αἰγύπτιοι","FALSE"
"20",",","FALSE"
"21","θεῶν","FALSE"
"22","ἀπόγονοι","FALSE"
"23",",","FALSE"
"24","γῆς","FALSE"
"25","μέτρα","FALSE"
"26","καταλαβόμενοι","FALSE"
"27",",","FALSE"
"28","θαλάσσης","FALSE"
"29","κύματα","FALSE"
"30","ἡμερωσάμενοι","FALSE"
"31",",","FALSE"
"32","ποταμὸν","FALSE"
"33","Νεῖλον","FALSE"
"34","διαμετρησάμενοι","FALSE"
"35",",","FALSE"
"36","οὐρανοῦ","FALSE"
"37","ἀστροθεσίαν","FALSE"
"38","διαψηφισάμενοι","FALSE"
"39",",","FALSE"
"40","παραδεδώκασι","FALSE"
"41","τῇ","TRUE"
"42","οἰκουμένῃ","FALSE"
"43","ἐπικράτειαν","FALSE"
"44","ἀλκὴν","FALSE"
"45","λόγου","FALSE"
"46",",","FALSE"
"47","εὕρεσιν","FALSE"
"48","μαγικῆς","FALSE"
"49","δυνάμεως","FALSE"
"50",".","FALSE"
"51","φασὶ","FALSE"
"52","γὰρ","TRUE"
"53","τὸν","TRUE"
"54","Νεκτανεβώ","FALSE"
"55",",","FALSE"
"56","τὸν","TRUE"
"57","τελευταῖον","FALSE"
"58","τῆς","TRUE"
"59","Αἰγύπτου","FALSE"
"60","βασιλέα","FALSE"
"61",",","FALSE"
"62","μεθ","FALSE"
"63","´","FALSE"
"64","ὃν","TRUE"
"65","ἡ","TRUE"
"66","Αἴγυπτος","FALSE"
"67","ἐξέπεσε","FALSE"
"68","τῆς","TRUE"
"69","τοιαύτης","TRUE"
"70","τιμῆς","FALSE"
"71",",","FALSE"
"72","τῇ","TRUE"
"73","μαγικῇ","FALSE"
"74","δυνάμει","FALSE"
"75","πάντων","FALSE"
"76","περιγενέσθαι","FALSE"
"77",".","FALSE"
"78","τὰ","TRUE"
"79","γὰρ","TRUE"
"80","κοσμικὰ","FALSE"
"81","στοιχεῖα","FALSE"
"82","λόγῳ","FALSE"
"83","πάντα","FALSE"
