"ID","TOKEN","UPOS"
"1",".,,","PUNCT"
"2",".","PUNCT"
"3",",","PUNCT"
"4",".","PUNCT"
"5",",,","CCONJ"
"6",".","PUNCT"
"7",",.","PUNCT"
"8","α,","ADJ"
"9",".","PUNCT"
"10",",,","CCONJ"
"11",".","PUNCT"
"12",",.;.","PUNCT"
"13",",","PUNCT"
"14","β,.;;;;;;;;;,,.","CCONJ"
"15",",","PUNCT"
"16","α,.","PUNCT"
"17","Οἱ","DET"
"18","σοφώτατοι","ADJ"
"19","Αἰγύπτιοι","ADJ"
"20",",","PUNCT"
"21","θεῶν","NOUN"
"22","ἀπόγονοι","NOUN"
"23",",","PUNCT"
"24","γῆς","NOUN"
"25","μέτρα","NOUN"
"26","καταλαβόμενοι","VERB"
"27",",","PUNCT"
"28","θαλάσσης","NOUN"
"29","κύματα","NOUN"
"30","ἡμερωσάμενοι","VERB"
"31",",","PUNCT"
"32","ποταμὸν","NOUN"
"33","Νεῖλον","PROPN"
"34","διαμετρησάμενοι","VERB"
"35",",","PUNCT"
"36","οὐρανοῦ","NOUN"
"37","ἀστροθεσίαν","NOUN"
"38","διαψηφισάμενοι","VERB"
"39",",","PUNCT"
"40","παραδεδώκασι","VERB"
"41","τῇ","DET"
"42","οἰκουμένῃ","NOUN"
"43","ἐπικράτειαν","NOUN"
"44","ἀλκὴν","NOUN"
"45","λόγου","NOUN"
"46",",","PUNCT"
"47","εὕρεσιν","NOUN"
"48","μαγικῆς","ADJ"
"49","δυνάμεως","NOUN"
"50",".","PUNCT"
"51","φασὶ","VERB"
"52","γὰρ","ADV"
"53","τὸν","DET"
"54","Νεκτανεβώ","PROPN"
"55",",","PUNCT"
"56","τὸν","DET"
"57","τελευταῖον","ADJ"
"58","τῆς","DET"
"59","Αἰγύπτου","PROPN"
"60","βασιλέα","NOUN"
"61",",","PUNCT"
"62","μεθ","ADP"
"63","´","ADP"
"64","ὃν","PRON"
"65","ἡ","DET"
"66","Αἴγυπτος","PROPN"
"67","ἐξέπεσε","VERB"
"68","τῆς","DET"
"69","τοιαύτης","DET"
"70","τιμῆς","NOUN"
"71",",","PUNCT"
"72","τῇ","DET"
"73","μαγικῇ","ADJ"
"74","δυνάμει","NOUN"
"75","πάντων","ADJ"
"76","περιγενέσθαι","VERB"
"77",".","PUNCT"
"78","τὰ","DET"
"79","γὰρ","ADV"
"80","κοσμικὰ","ADJ"
"81","στοιχεῖα","NOUN"
"82","λόγῳ","NOUN"
"83","πάντα","DET"
"84","αὑτῷ","PRON"
"85","ὑπετάσσετο","VERB"
"86","·","PUNCT"
"87","εἰ","SCONJ"
"88","γὰρ","ADV"
"89","αἰφνιδίως","ADV"
"90","πολέμου","NOUN"
"91","νέφος","NOUN"
"92","ἐπεληλύθει","VERB"
"93",",","PUNCT"
"94","οὐκ","ADV"
"95","ἔσκυλλε","VERB"
"96","στρατόπεδον","NOUN"
"97","οὐδὲ","CCONJ"
"98","ὅπλων","NOUN"
"99","πομπεύματα","NOUN"
"100","οὐδὲ","CCONJ"
"101","σιδήρου","NOUN"
"102","ἀκονήματα","NOUN"
"103","οὐδὲ","CCONJ"
"104","πολεμικὰ","ADJ"
"105","μηχανήματα","NOUN"
"106",",","PUNCT"
"107","ἀλλ","CCONJ"
"108","´","CCONJ"
"109","εἰσήρχετο","VERB"
"110","εἰς","ADP"
"111","τὰ","DET"
"112","βασίλεια","NOUN"
"113","καὶ","CCONJ"
"114","ἐλάμβανε","VERB"
"115","χαλκῆν","ADJ"
"116","λεκάνην","NOUN"
"117","καὶ","CCONJ"
"118","γεμίσας","VERB"
"119","αὐτὴν","PRON"
"120","ὕδατος","NOUN"
"121","ὀμβρίου","ADJ"
"122","ἔπλαττεν","VERB"
"123","ἐκ","ADP"
"124","κηροῦ","NOUN"
"125","πλοιαρίδια","NOUN"
"126","μικρὰ","ADJ"
"127","καὶ","CCONJ"
"128","ἀνθρωπάρια","NOUN"
"129","καὶ","CCONJ"
"130","ἐνέβαλλεν","VERB"
"131","αὐτὰ","PRON"
"132","εἰς","ADP"
"133","τὴν","DET"
"134","λεκάνην","NOUN"
"135","καὶ","CCONJ"
"136","ἔλεγεν","VERB"
"137","ἀοιδήν","NOUN"
"138",",","PUNCT"
"139","κρατῶν","VERB"
"140","ἐβεννίνην","ADJ"
"141","ῥάβδον","NOUN"
"142",",","PUNCT"
"143","καὶ","CCONJ"
"144","ἐπεκαλεῖτο","VERB"
"145","τοὺς","DET"
"146","ἀγγέλους","NOUN"
"147","καὶ","CCONJ"
"148","θεὸν","NOUN"
"149","Λιβύης","PROPN"
"150","Ἄμμωνα","PROPN"
"151",".","PUNCT"
"152","καὶ","CCONJ"
"153","οὕτω","ADV"
"154","τῇ","DET"
"155","τοιαύτῃ","DET"
"156","λεκανομαντείᾳ","NOUN"
"157","τὰ","DET"
"158","ἐν","ADP"
"159","τῇ","DET"
"160","λεκάνῃ","PROPN"
"161","πλοῖα","NOUN"
"162",".","PUNCT"
"163","τῶν","DET"
"164","ἐπερχομένων","VERB"
"165","πολεμίων","ADJ"
"166","ἀπολλυμένων","VERB"
"167","ἀνθρώπων","NOUN"
"168","περιεγένετο","VERB"
"169","·","PUNCT"
"170","τὸ","DET"
"171","δ","ADV"
"172","´","ADV"
"173","αὐτὸ","PRON"
"174","καὶ","ADV"
"175","ἐπὶ","ADP"
"176","τῶν","DET"
"177","διὰ","ADP"
"178","γῆς","NOUN"
"179","ἐπερχομένων","VERB"
"180",".","PUNCT"
"181","Οὕτως","ADV"
"182","οὖν","ADV"
"183","διὰ","ADP"
"184","τῆς","DET"
"185","πολυπειρίας","NOUN"
"186","τοῦ","DET"
"187","ἀνδρὸς","NOUN"
"188","τοῦ","DET"
"189","βασιλείου","ADJ"
"190","διαμένοντος","VERB"
"191","μετὰ","ADP"
"192","ἱκανὸν","ADJ"
"193","χρόνον","NOUN"
"194","ἐκ","ADP"
"195","τῶν","DET"
"196","παρὰ","ADP"
"197","Ῥωμαίοις","ADJ"
"198","καλουμένων","VERB"
"199","ἐκπλωρατόρων","NOUN"
"200",",","PUNCT"
"201","παρὰ","ADP"
"202","δὲ","ADV"
"203","τοῖς","DET"
"204","Ἑλλησι","NOUN"
