"ID","TOKEN","LEMMA"
"1","ΡΗΜΑΤΑ","ΡΗΜΑΤΑ"
"2","Ἐκκλησιαστοῦ","Ἐκκλησιαστόν"
"3","υἱοῦ","υἱός"
"4","Δαυεὶδ","Δαυίδ"
"5","βασιλέως","βασιλεύς"
"6","Ἰσραὴλ","Ἰσραήλ"
"7","ἐν","ἐν"
"8","Ἰερουσαλήμ","Ἰερουσαλήμ"
"9",".","."
"10","Ματαιότης","Ματαιότης"
"11","ματαιοτήτων","ματαιοτήτων"
"12",",",","
"13","εἶπεν","λέγω"
"14","ὁ","ὁ"
"15","ἐκκλησιαστής","ἐκκλησιαστής"
"16",",",","
"17","ματαιότης","ματαιότος"
"18","ματαιοτήτων","ματαιοτήτων"
"19",",",","
"20","τὰ","ὁ"
"21","πάντα","πᾶς"
"22","ματαιότης","ματαιότης"
"23",".","."
"24","τίς","τίς"
"25","περισσεία","περισσεία"
"26","τῷ","ὁ"
"27","ἀνθρώπῳ","ἄνθρωπος"
"28","ἐν","ἐν"
"29","παντὶ","πᾶς"
"30","μόχθῳ","μόχθῳς"
"31","αὐτοῦ","αὐτός"
"32","ᾧ","ὅς"
"33","μοχθεῖ","μοχθέω"
"34","ὑπὸ","ὑπό"
"35","τὸν","ὁ"
"36","ἥλιον","ἥλιος"
"37",";",";"
"38","γενεὰ","γενεά"
"39","πορεύεται","πορεύομαι"
"40","καὶ","καί"
"41","γενεὰ","γενεά"
"42","ἔρχεται","ἔρχομαι"
"43",",",","
"44","καὶ","καί"
"45","ἡ","ὁ"
"46","γῆ","γῆ"
"47","εἰς","εἰς"
"48","τὸν","ὁ"
"49","αἰῶνα","αἰών"
"50","ἕστηκεν","ἵστημι"
"51",".","."
"52","καὶ","καί"
"53","ἀνατέλλει","ἀνατέλλω"
"54","ὁ","ὁ"
"55","ἥλιος","ἥλιος"
"56","καὶ","καί"
"57","δύνει","δύω"
"58","ὁ","ὁ"
"59","ἥλιος","ἥλιος"
"60","καὶ","καί"
"61","εἰς","εἰς"
"62","τὸν","ὁ"
"63","τόπον","τόπος"
"64","αὐτοῦ","αὐτός"
"65","ἕλκει","ἕλκω"
"66","·","·"
"67","αὐτὸς","αὐτός"
"68","ἀνατέλλων","ἀνατέλλω"
"69","ἐκεῖ","ἐκεῖ"
"70","πορεύεται","πορεύομαι"
"71","πρὸς","πρός"
"72","νότον","νότος"
"73","καὶ","καί"
"74","κυκλοῖ","κυκλόω"
"75","πρὸς","πρός"
"76","βορρᾶν","Βορέας"
"77","·","·"
"78","κυκλοῖ","κυκλόω"
"79","κυκλῶν","κυκλέω"
"80",",",","
"81","πορεύεται","πορεύομαι"
"82","τὸ","ὁ"
"83","πνεῦμα","πνεῦμα"
"84",",",","
"85","καὶ","καί"
"86","ἐπὶ","ἐπί"
"87","κύκλους","κύκλος"
"88","αὐτοῦ","αὐτός"
"89","ἐπιστρέφει","ἐπιστρέφω"
"90","τὸ","ὁ"
"91","πνεῦμα","πνεῦμα"
"92",".","."
"93","πάντες","πᾶς"
"94","οἱ","ὁ"
"95","χείμαρροι","χείμαρρος"
"96","πορεύονται","πορεύω"
"97","εἰς","εἰς"
"98","τὴν","ὁ"
"99","θάλασσαν","θάλασσα"
"100",",",","
"101","καὶ","καί"
"102","ἡ","ὁ"
"103","θάλασσα","θάλασσα"
"104","οὐκ","οὐ"
"105","ἔσται","εἰμί"
"106","ἐμπιμπλαμένη","ἐμπιμπλαμένη"
"107","·","·"
"108","εἰς","εἰς"
"109","τόπον","τόπος"
"110","οἱ","ὁ"
"111","χείμαρροι","χείμαρρος"
"112","πορεύονται","πορεύω"
"113",",",","
"114","ἐκεῖ","ἐκεῖ"
"115","αὐτοὶ","αὐτός"
"116","ἐπιστρέφουσιν","ἐπιστρέφω"
"117","τοῦ","ὁ"
"118","πορευθῆναι","πορεύομαι"
"119",".","."
"120","πάντες","πᾶς"
"121","οἱ","ὁ"
"122","λόγοι","λόγος"
"123","ἔγκοποι","ἔγκοπος"
"124","·","·"
"125","οὐ","οὐ"
"126","δυνήσεται","δύναμαι"
"127","ἀνὴρ","ἀνήρ"
"128","τοῦ","ὁ"
"129","λαλεῖν","λαλέω"
"130",",",","
"131","καὶ","καί"
"132","οὐ","οὐ"
"133","πλησθήσεται","πίμπλημι"
"134","ὀφθαλμὸς","ὀφθαλμός"
"135","τοῦ","ὁ"
"136","ὁρᾶν","ὁράω"
"137",",",","
"138","καὶ","καί"
"139","οὐ","οὐ"
"140","πληρωθήσεται","πληρωθήσεμι"
"141","οὖς","οὖς"
"142","ἀπὸ","ἀπό"
"143","ἀκροάσεως","ἀκρόασις"
"144",".","."
"145","τί","τίς"
"146","τὸ","ὁ"
"147","γεγονός","γίγνομαι"
"148",";",";"
"149","αὐτὸ","αὐτός"
"150","τὸ","ὁ"
"151","γενησόμενον","γίγνομαι"
"152","·","·"
"153","καὶ","καί"
"154","τί","τίς"
"155","τὸ","ὁ"
"156","πεποιημένον","ποιέω"
"157",";",";"
"158","αὐτὸ","αὐτός"
"159","τὸ","ὁ"
"160","ποιηθησόμενον","ποιηθησόμενον"
"161","·","·"
"162","καὶ","καί"
"163","οὐκ","οὐ"
"164","ἔστιν","εἰμί"
"165","πᾶν","πᾶς"
"166","πρόσφατον","πρόσφατος"
"167","ὑπὸ","ὑπό"
"168","τὸν","ὁ"
"169","ἥλιον","ἥλιος"
"170",".","."
"171","ὃς","ὅς"
"172","λαλήσει","λαλέω"
"173","καὶ","καί"
"174","ἐρεῖ","λέγω"
"175","Ἴδε","ὁράω"
"176","τοῦτο","οὗτος"
"177","καινόν","καινός"
"178","ἐστιν","εἰμί"
"179",",",","
"180","ἤδη","ἤδη"
"181","γέγονεν","γίγνομαι"
"182","ἐν","ἐν"
"183","τοῖς","ὁ"
"184","αἰῶσιν","αἰών"
"185","τοῖς","ὁ"
"186","γενομένοις","γίγνομαι"
"187","ἀπὸ","ἀπό"
"188","ἔμπροσθεν","ἔμπροσθεν"
"189","ἡμῶν","ἡμεῖς"
"190",".","."
"191","οὐκ","οὐ"
"192","ἔστιν","εἰμί"
"193","μνήμη","μνήμη"
"194","τοῖς","ὁ"
"195","πρώτοις","πρῶτος"
"196",",",","
"197","καί","καί"
"198","γε","γε"
"199","τοῖς","ὁ"
"200","ἐσχάτοις","ἔσχατος"
"201","γενομένοις","γίγνομαι"
"202","·","·"
"203","οὐκ","οὐ"
"204","ἔσται","εἰμί"
"205","αὐτῶν","αὐτός"
"206","μνήμη","μνήμη"
"207","μετὰ","μετά"
"208","τῶν","ὁ"
"209","γενησομένων","γενησομένος"
"210","εἰς","εἰς"
