"ID","TOKEN","NER"
"1","ΡΗΜΑΤΑ","O"
"2","Ἐκκλησιαστοῦ","O"
"3","υἱοῦ","O"
"4","Δαυεὶδ","PERSON"
"5","βασιλέως","O"
"6","Ἰσραὴλ","LOC"
"7","ἐν","O"
"8","Ἰερουσαλήμ","LOC"
"9",".","O"
"10","Ματαιότης","O"
"11","ματαιοτήτων","O"
"12",",","O"
"13","εἶπεν","O"
"14","ὁ","O"
"15","ἐκκλησιαστής","O"
"16",",","O"
"17","ματαιότης","O"
"18","ματαιοτήτων","O"
"19",",","O"
"20","τὰ","O"
"21","πάντα","O"
"22","ματαιότης","O"
"23",".","O"
"24","τίς","O"
"25","περισσεία","O"
"26","τῷ","O"
"27","ἀνθρώπῳ","O"
"28","ἐν","O"
"29","παντὶ","O"
"30","μόχθῳ","O"
"31","αὐτοῦ","O"
"32","ᾧ","O"
"33","μοχθεῖ","O"
"34","ὑπὸ","O"
"35","τὸν","O"
"36","ἥλιον","O"
"37",";","O"
"38","γενεὰ","O"
"39","πορεύεται","O"
"40","καὶ","O"
"41","γενεὰ","O"
"42","ἔρχεται","O"
"43",",","O"
"44","καὶ","O"
"45","ἡ","O"
"46","γῆ","O"
"47","εἰς","O"
"48","τὸν","O"
"49","αἰῶνα","O"
"50","ἕστηκεν","O"
"51",".","O"
"52","καὶ","O"
"53","ἀνατέλλει","O"
"54","ὁ","O"
"55","ἥλιος","O"
"56","καὶ","O"
"57","δύνει","O"
"58","ὁ","O"
"59","ἥλιος","O"
"60","καὶ","O"
"61","εἰς","O"
"62","τὸν","O"
"63","τόπον","O"
"64","αὐτοῦ","O"
"65","ἕλκει","O"
"66","·","O"
"67","αὐτὸς","O"
"68","ἀνατέλλων","O"
"69","ἐκεῖ","O"
"70","πορεύεται","O"
"71","πρὸς","O"
"72","νότον","O"
"73","καὶ","O"
"74","κυκλοῖ","O"
"75","πρὸς","O"
"76","βορρᾶν","O"
"77","·","O"
"78","κυκλοῖ","O"
"79","κυκλῶν","O"
"80",",","O"
"81","πορεύεται","O"
"82","τὸ","O"
"83","πνεῦμα","O"
"84",",","O"
"85","καὶ","O"
"86","ἐπὶ","O"
"87","κύκλους","O"
"88","αὐτοῦ","O"
"89","ἐπιστρέφει","O"
"90","τὸ","O"
"91","πνεῦμα","O"
"92",".","O"
"93","πάντες","O"
"94","οἱ","O"
"95","χείμαρροι","O"
"96","πορεύονται","O"
"97","εἰς","O"
"98","τὴν","O"
"99","θάλασσαν","O"
"100",",","O"
"101","καὶ","O"
"102","ἡ","O"
"103","θάλασσα","O"
"104","οὐκ","O"
"105","ἔσται","O"
"106","ἐμπιμπλαμένη","O"
"107","·","O"
"108","εἰς","O"
"109","τόπον","O"
"110","οἱ","O"
"111","χείμαρροι","O"
"112","πορεύονται","O"
"113",",","O"
"114","ἐκεῖ","O"
"115","αὐτοὶ","O"
"116","ἐπιστρέφουσιν","O"
"117","τοῦ","O"
"118","πορευθῆναι","O"
"119",".","O"
"120","πάντες","O"
"121","οἱ","O"
"122","λόγοι","O"
"123","ἔγκοποι","O"
"124","·","O"
"125","οὐ","O"
"126","δυνήσεται","O"
"127","ἀνὴρ","O"
"128","τοῦ","O"
"129","λαλεῖν","O"
"130",",","O"
"131","καὶ","O"
"132","οὐ","O"
"133","πλησθήσεται","O"
"134","ὀφθαλμὸς","O"
"135","τοῦ","O"
"136","ὁρᾶν","O"
"137",",","O"
"138","καὶ","O"
"139","οὐ","O"
"140","πληρωθήσεται","O"
"141","οὖς","O"
"142","ἀπὸ","O"
"143","ἀκροάσεως","O"
"144",".","O"
"145","τί","O"
"146","τὸ","O"
"147","γεγονός","O"
"148",";","O"
"149","αὐτὸ","O"
"150","τὸ","O"
"151","γενησόμενον","O"
"152","·","O"
"153","καὶ","O"
"154","τί","O"
"155","τὸ","O"
"156","πεποιημένον","O"
"157",";","O"
"158","αὐτὸ","O"
"159","τὸ","O"
"160","ποιηθησόμενον","O"
"161","·","O"
"162","καὶ","O"
"163","οὐκ","O"
"164","ἔστιν","O"
"165","πᾶν","O"
"166","πρόσφατον","O"
"167","ὑπὸ","O"
"168","τὸν","O"
"169","ἥλιον","O"
"170",".","O"
"171","ὃς","O"
"172","λαλήσει","O"
"173","καὶ","O"
"174","ἐρεῖ","O"
"175","Ἴδε","O"
"176","τοῦτο","O"
"177","καινόν","O"
"178","ἐστιν","O"
"179",",","O"
"180","ἤδη","O"
"181","γέγονεν","O"
"182","ἐν","O"
"183","τοῖς","O"
"184","αἰῶσιν","O"
"185","τοῖς","O"
"186","γενομένοις","O"
"187","ἀπὸ","O"
"188","ἔμπροσθεν","O"
"189","ἡμῶν","O"
"190",".","O"
"191","οὐκ","O"
"192","ἔστιν","O"
"193","μνήμη","O"
"194","τοῖς","O"
"195","πρώτοις","O"
"196",",","O"
"197","καί","O"
"198","γε","O"
"199","τοῖς","O"
"200","ἐσχάτοις","O"
"201","γενομένοις","O"
"202","·","O"
"203","οὐκ","O"
"204","ἔσται","O"
"205","αὐτῶν","O"
"206","μνήμη","O"
"207","μετὰ","O"
"208","τῶν","O"
"209","γενησομένων","O"
"210","εἰς","O"
"211","τὴν","O"
"212","ἐσχάτην","O"
"213",".","O"
"214","Ἐγὼ","O"
"215","Ἐκκλησιαστὴς","O"
"216","ἐγενόμην","O"
"217","βασιλεὺς","O"
"218","ἐπὶ","O"
"219","Ἰσραὴλ","LOC"
"220","ἐν","O"
"221","Ἰερουσαλήμ","LOC"
"222","·","O"
"223","καὶ","O"
"224","ἔδωκα","O"
"225","τὴν","O"
"226","καρδίαν","O"
"227","μου","O"
"228","τοῦ","O"
"229","ἐκζητῆσαι","O"
"230","καὶ","O"
"231","τοῦ","O"
"232","κατασκέψασθαι","O"
"233","ἐν","O"
"234","τῇ","O"
"235","σοφίᾳ","O"
"236","περὶ","O"
"237","πάντων","O"
"238","τῶν","O"
"239","γινομένων","O"
"240","ὑπὸ","O"
"241","τὸν","O"
"242","οὐρανόν","O"
"243",",","O"
"244","ὅτι","O"
"245","περισπασμὸν","O"
"246","πονηρὸν","O"
"247","ἔδωκεν","O"
"248","ὁ","O"
"249","θεὸς","O"
"250","τοῖς","O"
"251","υἱοῖς","O"
"252","τῶν","O"
"253","ἀνθρώπων","O"
"254","τοῦ","O"
"255","περισπᾶσθαι","O"
"256","ἐν","O"
"257","αὐτῷ","O"
"258",".","O"
"259","εἶδον","O"
"260","σὺν","O"
"261","πάντα","O"
"262","τὰ","O"
"263","ποιήματα","O"
"264","τὰ","O"
"265","πεποιημένα","O"
"266","ὑπὸ","O"
"267","τὸν","O"
"268","ἥλιον","O"
"269",",","O"
"270","καὶ","O"
"271","ἰδοὺ","O"
"272","τὰ","O"
"273","πάντα","O"
"274","ματαιότης","O"
"275","καὶ","O"
"276","προαίρεσις","O"
"277","πνεύματος","O"
"278",".","O"
"279","διεστραμμένον","O"
"280","οὐ","O"
"281","δυνήσεται","O"
"282","ἐπικοσμηθῆναι","O"
"283",",","O"
"284","καὶ","O"
"285","ὑστέρημα","O"
"286","οὐ","O"
"287","δυνήσεται","O"
"288","ἀριθμηθῆναι","O"
"289",".","O"
"290","ἐλάλησα","O"
"291","ἐγὼ","O"
"292","ἐν","O"
"293","τῇ","O"
"294","καρδίᾳ","O"
"295","μου","O"
"296","τῷ","O"
"297","λέγειν","O"
"298","Ἐγὼ","O"
"299","ἰδοὺ","O"
"300","ἐμεγαλύνθην","O"
"301",",","O"
"302","καὶ","O"
"303","προσέθηκα","O"
"304","σοφίαν","O"
"305","ἐπὶ","O"
"306","πᾶσιν","O"
"307","οἳ","O"
"308","ἐγένοντο","O"
"309","ἔμπροσθέν","O"
"310","μου","O"
"311","ἐν","O"
"312","Ἰερουσαλήμ","LOC"
"313","·","O"
"314","καὶ","O"
"315","καρδία","O"
"316","μου","O"
"317","εἶδεν","O"
"318","πολλά","O"
"319",",","O"
"320","σοφίαν","O"
"321","καὶ","O"
"322","γνῶσιν","O"
"323",",","O"
"324","καὶ","O"
"325","ἔδωκα","O"
"326","καρδίαν","O"
"327","μου","O"
"328","τοῦ","O"
"329","γνῶναι","O"
"330","σοφίαν","O"
"331","καὶ","O"
"332","γνῶσιν","O"
"333",",","O"
"334","παραβολὰς","O"
"335","καὶ","O"
"336","ἐπιστήμην","O"
"337","ἔγνων","O"
"338","ἐγώ","O"
"339",".","O"
"340","ὅτι","O"
"341","καί","O"
"342","γε","O"
"343","τοῦτ᾽","O"
"344","ἔστιν","O"
"345","προαίρεσις","O"
"346","πνεύματος","O"
"347",",","O"
"348","ὅτι","O"
"349","ἐν","O"
"350","πλήθει","O"
"351","σοφίας","O"
"352","πλῆθος","O"
"353","γνώσεως","O"
"354",",","O"
"355","καὶ","O"
"356","ὁ","O"
"357","προστιθεὶς","O"
"358","γνῶσιν","O"
"359","προσθήσει","O"
"360","ἄλγημα","O"
"361",".","O"
"362","Εἶπον","O"
"363","ἐγὼ","O"
"364","ἐν","O"
"365","καρδίᾳ","O"
"366","μου","O"
"367","Δεῦρο","O"
"368","δὴ","O"
"369","πειράσω","O"
"370","σε","O"
"371","ἐν","O"
"372","εὐφροσύνῃ","O"
"373",",","O"
"374","καὶ","O"
"375","ἴδε","O"
"376","ἐν","O"
"377","ἀγαθῷ","O"
"378","·","O"
"379","καὶ","O"
"380","ἰδοὺ","O"
"381","καί","O"
"382","γε","O"
"383","τοῦτο","O"
"384","ματαιότης","O"
"385",".","O"
"386","τῷ","O"
"387","γέλωτι","O"
"388","εἶπα","O"
"389","περιφοράν","O"
"390",",","O"
"391","καὶ","O"
"392","τῇ","O"
"393","εὐφροσύνῃ","O"
"394","Τί","O"
"395","τοῦτο","O"
"396","ποιεῖς","O"
"397",";","O"
"398","καὶ","O"
"399","κατεσκεψάμην","O"
"400","εἰ","O"
"401","ἡ","O"
"402","καρδία","O"
"403","μου","O"
"404","ἑλκύσει","O"
"405","ὡς","O"
"406","οἶνον","O"
"407","τὴν","O"
"408","σάρκα","O"
"409","μου","O"
"410","·","O"
"411","καὶ","O"
"412","καρδία","O"
"413","μου","O"
"414","ὡδήγησεν","O"
"415","ἐν","O"
"416","σοφίᾳ","O"
"417","καὶ","O"
"418","τοῦ","O"
"419","κρατῆσαι","O"
"420","ἐπ᾽","O"
"421","εὐφροσύνῃ","O"
"422",",","O"
"423","ἕως","O"
"424","οὗ","O"
"425","ἴδω","O"
"426","ποῖον","O"
"427","τὸ","O"
"428","ἀγαθὸν","O"
"429","τοῖς","O"
"430","υἱοῖς","O"
"431","τῶν","O"
"432","ἀνθρώπων","O"
"433","ὃ","O"
"434","ποιήσουσιν","O"
"435","ὑπὸ","O"
"436","τὸν","O"
"437","ἥλιον","O"
"438","ἀριθμὸν","O"
"439","ἡμερῶν","O"
"440","ζωῆς","O"
"441","αὐτῶν","O"
"442",".","O"
"443","ἐμεγάλυνα","O"
"444","ποίημά","O"
"445","μου","O"
"446",",","O"
"447","ᾠκοδόμησά","O"
"448","μοι","O"
"449","οἴκους","O"
"450",",","O"
"451","ἐφύτευσά","O"
"452","μοι","O"
"453","ἀμπελῶνας","O"
"454",",","O"
"455","ἐποίησά","O"
"456","μοι","O"
"457","κήπους","O"
"458","καὶ","O"
"459","παραδείσους","O"
"460",",","O"
"461","καὶ","O"
"462","ἐφύτευσα","O"
"463","ἐν","O"
"464","αὐτοῖς","O"
"465","ξύλον","O"
"466","πᾶν","O"
"467","καρποῦ","O"
"468","·","O"
"469","ἐποίησά","O"
"470","μοι","O"
"471","κολυμβήθρας","O"
"472","ὑδάτων","O"
"473","τοῦ","O"
"474","ποτίσαι","O"
"475","ἀπ᾽","O"
"476","αὐτῶν","O"
"477","δρυμὸν","O"
"478","βλαστῶντα","O"
"479","·","O"
"480","ἐκτησάμην","O"
"481","δούλους","O"
"482","καὶ","O"
"483","παιδίσκας","O"
"484",",","O"
"485","καὶ","O"
"486","οἰκογενεῖς","O"
"487","ἐγένοντό","O"
"488","μοι","O"
"489",",","O"
"490","καί","O"
"491","γε","O"
"492","κτῆσις","O"
"493","βουκολίου","O"
"494","καὶ","O"
"495","ποιμνίου","O"
"496","πολλὴ","O"
"497","ἐγένετό","O"
"498","μοι","O"
"499","ὑπὲρ","O"
"500","πάντας","O"
"501","τοὺς","O"
"502","γενομένους","O"
"503","ἔμπροσθέν","O"
"504","μου","O"
"505","ἐν","O"
"506","Ἰερουσαλήμ","LOC"
"507","·","O"
"508","συνήγαγόν","O"
"509","μοι","O"
"510","καί","O"
"511","γε","O"
"512","ἀργύριον","O"
"513","καί","O"
"514","γε","O"
"515","χρυσίον","O"
"516",",","O"
"517","καὶ","O"
"518","περιουσιασμοὺς","O"
"519","βασιλέων","O"
"520","καὶ","O"
"521","τῶν","O"
"522","χωρῶν","O"
"523","·","O"
"524","ἐποίησά","O"
"525","μοι","O"
"526","ᾄδοντας","O"
"527","καὶ","O"
"528","ᾀδούσας","O"
"529","ἐντρυφήματα","O"
"530","υἱῶν","O"
"531","ἀνθρώπων","O"
"532",",","O"
"533","οἰνοχόον","O"
"534","καὶ","O"
"535","οἰνοχόας","O"
"536","·","O"
"537","καὶ","O"
"538","ἐμεγαλύνθην","O"
"539","καὶ","O"
"540","προσέθηκα","O"
"541","παρὰ","O"
"542","πάντας","O"
"543","τοὺς","O"
"544","γενομένους","O"
"545","ἀπὸ","O"
"546","ἔμπροσθέν","O"
"547","μου","O"
"548","ἐν","O"
"549","Ἰερουσαλήμ","LOC"
"550","·","O"
"551","καί","O"
"552","γε","O"
"553","σοφία","O"
"554","μου","O"
"555","ἐστάθη","O"
"556","μοι","O"
"557",".","O"
"558","καὶ","O"
"559","πᾶν","O"
"560","ὃ","O"
"561","ᾔτησαν","O"
"562","οἱ","O"
"563","ὀφθαλμοί","O"
"564","μου","O"
"565","οὐκ","O"
"566","ἀφεῖλον","O"
"567","ἀπ᾽","O"
"568","αὐτῶν","O"
"569",",","O"
"570","οὐκ","O"
"571","ἀπεκώλυσα","O"
"572","τὴν","O"
"573","καρδίαν","O"
"574","μου","O"
"575","ἀπὸ","O"
"576","πάσης","O"
"577","εὐφροσύνης","O"
"578","μου","O"
"579",",","O"
"580","ὅτι","O"
"581","καρδία","O"
"582","μου","O"
"583","εὐφράνθη","O"
"584","ἐν","O"
"585","παντὶ","O"
"586","μόχθῳ","O"
"587","μου","O"
"588","·","O"
"589","καὶ","O"
"590","τοῦτο","O"
"591","ἐγένετο","O"
"592","μερίς","O"
"593","μου","O"
"594","ἀπὸ","O"
"595","παντὸς","O"
"596","μόχθου","O"
"597","μου","O"
"598",".","O"
"599","καὶ","O"
"600","ἐπέβλεψα","O"
"601","ἐγὼ","O"
"602","ἐν","O"
"603","πᾶσιν","O"
"604","ποιήμασίν","O"
"605","μου","O"
"606","οἷς","O"
"607","ἐποίησαν","O"
"608","αἱ","O"
"609","χεῖρές","O"
"610","μου","O"
"611",",","O"
"612","καὶ","O"
"613","ἐν","O"
"614","μόχθῳ","O"
"615","ᾧ","O"
"616","ἐμόχθησα","O"
"617","τοῦ","O"
"618","ποιεῖν","O"
"619",",","O"
"620","καὶ","O"
"621","ἰδοὺ","O"
"622","τὰ","O"
"623","πάντα","O"
"624","ματαιότης","O"
"625","καὶ","O"
"626","προαίρεσις","O"
"627","πνεύματος","O"
"628",",","O"
"629","καὶ","O"
"630","οὐκ","O"
"631","ἔστιν","O"
"632","περισσεία","O"
"633","ὑπὸ","O"
"634","τὸν","O"
"635","ἥλιον","O"
"636",".","O"
"637","Καὶ","O"
"638","ἐπέβλεψα","O"
"639","ἐγὼ","O"
"640","τοῦ","O"
"641","ἰδεῖν","O"
"642","σοφίαν","O"
"643","καὶ","O"
"644","παραφορὰν","O"
"645","καὶ","O"
"646","ἀφροσύνην","O"
"647","·","O"
"648","ὅτι","O"
"649","τίς","O"
"650","ἄνθρωπος","O"
"651","ὅς","O"
"652","ἐπελεύσεται","O"
"653","ὀπίσω","O"
"654","τῆς","O"
"655","βουλῆς","O"
"656",";","O"
"657","τὰ","O"
"658","ὅσα","O"
"659","ἐποίησεν","O"
"660","αὐτήν","O"
"661",".","O"
"662","καὶ","O"
"663","εἶδον","O"
"664","ἐγὼ","O"
"665","ὅτι","O"
"666","ἐστὶν","O"
"667","περισσεία","O"
"668","τῇ","O"
"669","σοφίᾳ","O"
"670","ὑπὲρ","O"
"671","τὴν","O"
"672","ἀφροσύνην","O"
"673",",","O"
"674","ὡς","O"
"675","περισσεία","O"
"676","τοῦ","O"
"677","φωτὸς","O"
"678","ὑπὲρ","O"
"679","τὸ","O"
"680","σκότος","O"
"681",".","O"
"682","τοῦ","O"
"683","σοφοῦ","O"
"684","οἱ","O"
"685","ὀφθαλμοὶ","O"
"686","αὐτοῦ","O"
"687","ἐν","O"
"688","κεφαλῇ","O"
"689","αὐτοῦ","O"
"690",",","O"
"691","καὶ","O"
"692","ὁ","O"
"693","ἄφρων","O"
"694","ἐν","O"
"695","σκότει","O"
"696","πορεύεται","O"
"697",".","O"
"698","καὶ","O"
"699","ἔγνων","O"
"700","καί","O"
"701","γε","O"
"702","ἐγὼ","O"
"703","ὅτι","O"
"704","συνάντημα","O"
"705","ἓν","O"
"706","συναντήσεται","O"
"707","τοῖς","O"
"708","πᾶσιν","O"
"709","αὐτοῖς","O"
"710",".","O"
"711","καὶ","O"
"712","εἶπα","O"
"713","ἐγὼ","O"
"714","ἐν","O"
"715","καρδίᾳ","O"
"716","μου","O"
"717","Ὡς","O"
"718","συνάντημα","O"
"719","τοῦ","O"
"720","ἄφρονος","O"
"721",",","O"
"722","καί","O"
"723","γε","O"
"724","ἐμοί","O"
"725",",","O"
"726","συναντήσεταί","O"
"727","μοι","O"
"728","·","O"
"729","καὶ","O"
"730","ἵνα","O"
"731","τί","O"
"732","ἐσοφισάμην","O"
"733",";","O"
"734","ἐγὼ","O"
"735","περισσὸν","O"
"736","ἐλάλησα","O"
"737","ἐν","O"
"738","καρδίᾳ","O"
"739","μου","O"
"740","ὅτι","O"
"741","καί","O"
"742","γε","O"
"743","τοῦτο","O"
"744","ματαιότης","O"
"745",",","O"
"746","διότι","O"
"747","ὁ","O"
"748","ἄφρων","O"
"749","ἐκ","O"
"750","περισσεύματος","O"
"751","λαλεῖ","O"
"752",".","O"
"753","ὅτι","O"
"754","οὐκ","O"
"755","ἔστιν","O"
"756","μνήμη","O"
"757","τοῦ","O"
"758","σοφοῦ","O"
"759","μετὰ","O"
"760","τοῦ","O"
"761","ἄφρονος","O"
"762","εἰς","O"
"763","τὸν","O"
"764","αἰῶνα","O"
"765",",","O"
"766","καθότι","O"
"767","ἤδη","O"
"768","αἱ","O"
"769","ἡμέραι","O"
"770","ἐρχόμεναι","O"
"771","τὰ","O"
"772","πάντα","O"
"773","ἐπελήσθη","O"
"774","·","O"
"775","καὶ","O"
"776","πῶς","O"
"777","ἀποθανεῖται","O"
"778","ὁ","O"
"779","σοφὸς","O"
"780","μετὰ","O"
"781","τοῦ","O"
"782","ἄφρονος","O"
"783",";","O"
"784","καὶ","O"
"785","ἐμίσησα","O"
"786","σὺν","O"
"787","τὴν","O"
"788","ζωήν","O"
"789",",","O"
"790","ὅτι","O"
"791","πονηρὸν","O"
"792","ἐπ᾽","O"
"793","ἐμὲ","O"
"794","τὸ","O"
"795","ποίημα","O"
"796","τὸ","O"
"797","πεποιημένον","O"
"798","ὑπὸ","O"
"799","τὸν","O"
"800","ἥλιον","O"
"801",",","O"
"802","ὅτι","O"
"803","πάντα","O"
"804","ματαιότης","O"
"805","καὶ","O"
"806","προαίρεσις","O"
"807","πνεύματος","O"
"808",".","O"
"809","καὶ","O"
"810","ἐμίσησα","O"
"811","ἐγὼ","O"
"812","σύμπαντα","O"
"813","μόχθον","O"
"814","μου","O"
"815","ὃν","O"
"816","ἐγὼ","O"
"817","κοπιῶ","O"
"818","ὑπὸ","O"
"819","τὸν","O"
"820","ἥλιον","O"
"821",",","O"
"822","ὅτι","O"
"823","ἀφίω","O"
"824","αὐτὸν","O"
"825","τῷ","O"
"826","ἀνθρώπῳ","O"
"827","τῷ","O"
"828","γινομένῳ","O"
"829","μετ᾽","O"
"830","ἐμέ","O"
"831",".","O"
"832","καὶ","O"
"833","τίς","O"
"834","οἶδεν","O"
"835","εἰ","O"
"836","σοφὸς","O"
"837","ἔσται","O"
"838","ἢ","O"
"839","ἄφρων","O"
"840",";","O"
"841","καὶ","O"
"842","εἰ","O"
"843","ἐξουσιάζεται","O"
"844","ἐν","O"
"845","παντὶ","O"
"846","μόχθῳ","O"
"847","μου","O"
"848","ᾧ","O"
"849","ἐμόχθησα","O"
"850","καὶ","O"
