"ID","TOKEN","IS_STOP"
"1","ΡΗΜΑΤΑ","FALSE"
"2","Ἐκκλησιαστοῦ","FALSE"
"3","υἱοῦ","FALSE"
"4","Δαυεὶδ","FALSE"
"5","βασιλέως","FALSE"
"6","Ἰσραὴλ","FALSE"
"7","ἐν","TRUE"
"8","Ἰερουσαλήμ","FALSE"
"9",".","FALSE"
"10","Ματαιότης","FALSE"
"11","ματαιοτήτων","FALSE"
"12",",","FALSE"
"13","εἶπεν","FALSE"
"14","ὁ","TRUE"
"15","ἐκκλησιαστής","FALSE"
"16",",","FALSE"
"17","ματαιότης","FALSE"
"18","ματαιοτήτων","FALSE"
"19",",","FALSE"
"20","τὰ","TRUE"
"21","πάντα","FALSE"
"22","ματαιότης","FALSE"
"23",".","FALSE"
"24","τίς","TRUE"
"25","περισσεία","FALSE"
"26","τῷ","TRUE"
"27","ἀνθρώπῳ","FALSE"
"28","ἐν","TRUE"
"29","παντὶ","FALSE"
"30","μόχθῳ","FALSE"
"31","αὐτοῦ","TRUE"
"32","ᾧ","TRUE"
"33","μοχθεῖ","FALSE"
"34","ὑπὸ","TRUE"
"35","τὸν","TRUE"
"36","ἥλιον","FALSE"
"37",";","FALSE"
"38","γενεὰ","FALSE"
"39","πορεύεται","FALSE"
"40","καὶ","TRUE"
"41","γενεὰ","FALSE"
"42","ἔρχεται","FALSE"
"43",",","FALSE"
"44","καὶ","TRUE"
"45","ἡ","TRUE"
"46","γῆ","FALSE"
"47","εἰς","TRUE"
"48","τὸν","TRUE"
"49","αἰῶνα","FALSE"
"50","ἕστηκεν","FALSE"
"51",".","FALSE"
"52","καὶ","TRUE"
"53","ἀνατέλλει","FALSE"
"54","ὁ","TRUE"
"55","ἥλιος","FALSE"
"56","καὶ","TRUE"
"57","δύνει","FALSE"
"58","ὁ","TRUE"
"59","ἥλιος","FALSE"
"60","καὶ","TRUE"
"61","εἰς","TRUE"
"62","τὸν","TRUE"
"63","τόπον","FALSE"
"64","αὐτοῦ","TRUE"
"65","ἕλκει","FALSE"
"66","·","FALSE"
"67","αὐτὸς","TRUE"
"68","ἀνατέλλων","FALSE"
"69","ἐκεῖ","FALSE"
"70","πορεύεται","FALSE"
"71","πρὸς","TRUE"
"72","νότον","FALSE"
"73","καὶ","TRUE"
"74","κυκλοῖ","FALSE"
"75","πρὸς","TRUE"
"76","βορρᾶν","FALSE"
"77","·","FALSE"
"78","κυκλοῖ","FALSE"
"79","κυκλῶν","FALSE"
"80",",","FALSE"
"81","πορεύεται","FALSE"
"82","τὸ","TRUE"
"83","πνεῦμα","FALSE"
"84",",","FALSE"
"85","καὶ","TRUE"
"86","ἐπὶ","TRUE"
"87","κύκλους","FALSE"
"88","αὐτοῦ","TRUE"
"89","ἐπιστρέφει","FALSE"
"90","τὸ","TRUE"
"91","πνεῦμα","FALSE"
"92",".","FALSE"
"93","πάντες","FALSE"
"94","οἱ","TRUE"
"95","χείμαρροι","FALSE"
"96","πορεύονται","FALSE"
"97","εἰς","TRUE"
"98","τὴν","TRUE"
"99","θάλασσαν","FALSE"
"100",",","FALSE"
"101","καὶ","TRUE"
"102","ἡ","TRUE"
"103","θάλασσα","FALSE"
"104","οὐκ","TRUE"
"105","ἔσται","TRUE"
"106","ἐμπιμπλαμένη","FALSE"
"107","·","FALSE"
"108","εἰς","TRUE"
"109","τόπον","FALSE"
"110","οἱ","TRUE"
"111","χείμαρροι","FALSE"
"112","πορεύονται","FALSE"
"113",",","FALSE"
"114","ἐκεῖ","FALSE"
"115","αὐτοὶ","TRUE"
"116","ἐπιστρέφουσιν","FALSE"
"117","τοῦ","TRUE"
"118","πορευθῆναι","FALSE"
"119",".","FALSE"
"120","πάντες","FALSE"
"121","οἱ","TRUE"
"122","λόγοι","FALSE"
"123","ἔγκοποι","FALSE"
"124","·","FALSE"
"125","οὐ","TRUE"
"126","δυνήσεται","FALSE"
"127","ἀνὴρ","FALSE"
"128","τοῦ","TRUE"
"129","λαλεῖν","FALSE"
"130",",","FALSE"
"131","καὶ","TRUE"
"132","οὐ","TRUE"
"133","πλησθήσεται","FALSE"
"134","ὀφθαλμὸς","FALSE"
"135","τοῦ","TRUE"
"136","ὁρᾶν","FALSE"
"137",",","FALSE"
"138","καὶ","TRUE"
"139","οὐ","TRUE"
"140","πληρωθήσεται","FALSE"
"141","οὖς","FALSE"
"142","ἀπὸ","TRUE"
"143","ἀκροάσεως","FALSE"
"144",".","FALSE"
"145","τί","TRUE"
"146","τὸ","TRUE"
"147","γεγονός","FALSE"
"148",";","FALSE"
"149","αὐτὸ","TRUE"
"150","τὸ","TRUE"
"151","γενησόμενον","FALSE"
"152","·","FALSE"
"153","καὶ","TRUE"
"154","τί","TRUE"
"155","τὸ","TRUE"
"156","πεποιημένον","FALSE"
"157",";","FALSE"
"158","αὐτὸ","TRUE"
"159","τὸ","TRUE"
"160","ποιηθησόμενον","FALSE"
"161","·","FALSE"
"162","καὶ","TRUE"
"163","οὐκ","TRUE"
"164","ἔστιν","TRUE"
"165","πᾶν","FALSE"
"166","πρόσφατον","FALSE"
"167","ὑπὸ","TRUE"
"168","τὸν","TRUE"
"169","ἥλιον","FALSE"
"170",".","FALSE"
"171","ὃς","TRUE"
"172","λαλήσει","FALSE"
"173","καὶ","TRUE"
"174","ἐρεῖ","FALSE"
"175","Ἴδε","FALSE"
"176","τοῦτο","TRUE"
"177","καινόν","FALSE"
"178","ἐστιν","TRUE"
"179",",","FALSE"
"180","ἤδη","FALSE"
"181","γέγονεν","FALSE"
"182","ἐν","TRUE"
"183","τοῖς","TRUE"
"184","αἰῶσιν","FALSE"
"185","τοῖς","TRUE"
"186","γενομένοις","FALSE"
