"ID","TOKEN","UPOS"
"1","ΡΗΜΑΤΑ","NOUN"
"2","Ἐκκλησιαστοῦ","NOUN"
"3","υἱοῦ","NOUN"
"4","Δαυεὶδ","PROPN"
"5","βασιλέως","NOUN"
"6","Ἰσραὴλ","PROPN"
"7","ἐν","ADP"
"8","Ἰερουσαλήμ","PROPN"
"9",".","PUNCT"
"10","Ματαιότης","NOUN"
"11","ματαιοτήτων","NOUN"
"12",",","PUNCT"
"13","εἶπεν","VERB"
"14","ὁ","DET"
"15","ἐκκλησιαστής","PROPN"
"16",",","PUNCT"
"17","ματαιότης","NOUN"
"18","ματαιοτήτων","NOUN"
"19",",","PUNCT"
"20","τὰ","DET"
"21","πάντα","ADJ"
"22","ματαιότης","NOUN"
"23",".","PUNCT"
"24","τίς","PRON"
"25","περισσεία","NOUN"
"26","τῷ","DET"
"27","ἀνθρώπῳ","NOUN"
"28","ἐν","ADP"
"29","παντὶ","DET"
"30","μόχθῳ","NOUN"
"31","αὐτοῦ","PRON"
"32","ᾧ","PRON"
"33","μοχθεῖ","VERB"
"34","ὑπὸ","ADP"
"35","τὸν","DET"
"36","ἥλιον","NOUN"
"37",";","PUNCT"
"38","γενεὰ","NOUN"
"39","πορεύεται","VERB"
"40","καὶ","CCONJ"
"41","γενεὰ","NOUN"
"42","ἔρχεται","VERB"
"43",",","PUNCT"
"44","καὶ","CCONJ"
"45","ἡ","DET"
"46","γῆ","NOUN"
"47","εἰς","ADP"
"48","τὸν","DET"
"49","αἰῶνα","NOUN"
"50","ἕστηκεν","VERB"
"51",".","PUNCT"
"52","καὶ","CCONJ"
"53","ἀνατέλλει","VERB"
"54","ὁ","DET"
"55","ἥλιος","NOUN"
"56","καὶ","CCONJ"
"57","δύνει","VERB"
"58","ὁ","DET"
"59","ἥλιος","NOUN"
"60","καὶ","CCONJ"
"61","εἰς","ADP"
"62","τὸν","DET"
"63","τόπον","NOUN"
"64","αὐτοῦ","PRON"
"65","ἕλκει","VERB"
"66","·","PUNCT"
"67","αὐτὸς","PRON"
"68","ἀνατέλλων","VERB"
"69","ἐκεῖ","ADV"
"70","πορεύεται","VERB"
"71","πρὸς","ADP"
"72","νότον","NOUN"
"73","καὶ","CCONJ"
"74","κυκλοῖ","VERB"
"75","πρὸς","ADP"
"76","βορρᾶν","NOUN"
"77","·","PUNCT"
"78","κυκλοῖ","NOUN"
"79","κυκλῶν","NOUN"
"80",",","PUNCT"
"81","πορεύεται","VERB"
"82","τὸ","DET"
"83","πνεῦμα","NOUN"
"84",",","PUNCT"
"85","καὶ","CCONJ"
"86","ἐπὶ","ADP"
"87","κύκλους","NOUN"
"88","αὐτοῦ","PRON"
"89","ἐπιστρέφει","VERB"
"90","τὸ","DET"
"91","πνεῦμα","NOUN"
"92",".","PUNCT"
"93","πάντες","DET"
"94","οἱ","DET"
"95","χείμαρροι","NOUN"
"96","πορεύονται","VERB"
"97","εἰς","ADP"
"98","τὴν","DET"
"99","θάλασσαν","NOUN"
"100",",","PUNCT"
"101","καὶ","CCONJ"
"102","ἡ","DET"
"103","θάλασσα","NOUN"
"104","οὐκ","ADV"
"105","ἔσται","AUX"
"106","ἐμπιμπλαμένη","VERB"
"107","·","PUNCT"
"108","εἰς","ADP"
"109","τόπον","NOUN"
"110","οἱ","DET"
"111","χείμαρροι","NOUN"
"112","πορεύονται","VERB"
"113",",","PUNCT"
"114","ἐκεῖ","ADV"
"115","αὐτοὶ","PRON"
"116","ἐπιστρέφουσιν","VERB"
"117","τοῦ","DET"
"118","πορευθῆναι","VERB"
"119",".","PUNCT"
"120","πάντες","DET"
"121","οἱ","DET"
"122","λόγοι","NOUN"
"123","ἔγκοποι","ADJ"
"124","·","PUNCT"
"125","οὐ","ADV"
"126","δυνήσεται","VERB"
"127","ἀνὴρ","NOUN"
"128","τοῦ","DET"
"129","λαλεῖν","VERB"
"130",",","PUNCT"
"131","καὶ","CCONJ"
"132","οὐ","ADV"
"133","πλησθήσεται","VERB"
"134","ὀφθαλμὸς","NOUN"
"135","τοῦ","DET"
"136","ὁρᾶν","VERB"
"137",",","PUNCT"
"138","καὶ","CCONJ"
"139","οὐ","ADV"
"140","πληρωθήσεται","VERB"
"141","οὖς","NOUN"
"142","ἀπὸ","ADP"
"143","ἀκροάσεως","NOUN"
"144",".","PUNCT"
"145","τί","PRON"
"146","τὸ","DET"
"147","γεγονός","VERB"
"148",";","PUNCT"
"149","αὐτὸ","DET"
"150","τὸ","DET"
"151","γενησόμενον","VERB"
"152","·","PUNCT"
"153","καὶ","CCONJ"
"154","τί","PRON"
"155","τὸ","DET"
"156","πεποιημένον","VERB"
"157",";","PUNCT"
"158","αὐτὸ","PRON"
"159","τὸ","DET"
"160","ποιηθησόμενον","VERB"
"161","·","PUNCT"
"162","καὶ","CCONJ"
"163","οὐκ","ADV"
"164","ἔστιν","AUX"
"165","πᾶν","DET"
"166","πρόσφατον","ADJ"
"167","ὑπὸ","ADP"
"168","τὸν","DET"
"169","ἥλιον","NOUN"
"170",".","PUNCT"
"171","ὃς","PRON"
"172","λαλήσει","VERB"
"173","καὶ","CCONJ"
"174","ἐρεῖ","VERB"
"175","Ἴδε","VERB"
"176","τοῦτο","ADJ"
"177","καινόν","ADJ"
"178","ἐστιν","AUX"
"179",",","PUNCT"
"180","ἤδη","ADV"
"181","γέγονεν","VERB"
"182","ἐν","ADP"
"183","τοῖς","DET"
"184","αἰῶσιν","NOUN"
"185","τοῖς","DET"
"186","γενομένοις","VERB"
"187","ἀπὸ","ADP"
"188","ἔμπροσθεν","ADP"
"189","ἡμῶν","PRON"
"190",".","PUNCT"
"191","οὐκ","ADV"
"192","ἔστιν","AUX"
"193","μνήμη","NOUN"
"194","τοῖς","DET"
"195","πρώτοις","ADJ"
"196",",","PUNCT"
"197","καί","CCONJ"
"198","γε","ADV"
"199","τοῖς","DET"
"200","ἐσχάτοις","ADJ"
"201","γενομένοις","VERB"
"202","·","PUNCT"
"203","οὐκ","ADV"
"204","ἔσται","AUX"
"205","αὐτῶν","PRON"
"206","μνήμη","NOUN"
"207","μετὰ","ADP"
"208","τῶν","DET"
"209","γενησομένων","VERB"
"210","εἰς","ADP"
"211","τὴν","DET"
"212","ἐσχάτην","ADJ"
"213",".","PUNCT"
"214","Ἐγὼ","PRON"
"215","Ἐκκλησιαστὴς","NOUN"
"216","ἐγενόμην","VERB"
"217","βασιλεὺς","NOUN"
"218","ἐπὶ","ADP"
"219","Ἰσραὴλ","PROPN"
"220","ἐν","ADP"
"221","Ἰερουσαλήμ","PROPN"
"222","·","PUNCT"
"223","καὶ","CCONJ"
"224","ἔδωκα","VERB"
"225","τὴν","DET"
"226","καρδίαν","NOUN"
"227","μου","PRON"
"228","τοῦ","DET"
"229","ἐκζητῆσαι","VERB"
"230","καὶ","CCONJ"
"231","τοῦ","DET"
"232","κατασκέψασθαι","VERB"
"233","ἐν","ADP"
"234","τῇ","DET"
"235","σοφίᾳ","NOUN"
"236","περὶ","ADP"
"237","πάντων","DET"
"238","τῶν","DET"
"239","γινομένων","VERB"
"240","ὑπὸ","ADP"
"241","τὸν","DET"
"242","οὐρανόν","NOUN"
"243",",","PUNCT"
"244","ὅτι","SCONJ"
"245","περισπασμὸν","NOUN"
"246","πονηρὸν","ADJ"
"247","ἔδωκεν","VERB"
"248","ὁ","DET"
"249","θεὸς","NOUN"
"250","τοῖς","DET"
"251","υἱοῖς","NOUN"
"252","τῶν","DET"
"253","ἀνθρώπων","NOUN"
"254","τοῦ","DET"
"255","περισπᾶσθαι","VERB"
"256","ἐν","ADP"
"257","αὐτῷ","PRON"
"258",".","PUNCT"
"259","εἶδον","VERB"
"260","σὺν","ADP"
"261","πάντα","DET"
"262","τὰ","DET"
"263","ποιήματα","NOUN"
"264","τὰ","DET"
"265","πεποιημένα","VERB"
"266","ὑπὸ","ADP"
"267","τὸν","DET"
"268","ἥλιον","NOUN"
"269",",","PUNCT"
"270","καὶ","CCONJ"
"271","ἰδοὺ","INTJ"
"272","τὰ","DET"
"273","πάντα","ADJ"
"274","ματαιότης","NOUN"
"275","καὶ","CCONJ"
"276","προαίρεσις","NOUN"
"277","πνεύματος","NOUN"
"278",".","PUNCT"
"279","διεστραμμένον","VERB"
"280","οὐ","ADV"
"281","δυνήσεται","VERB"
"282","ἐπικοσμηθῆναι","VERB"
"283",",","PUNCT"
"284","καὶ","CCONJ"
"285","ὑστέρημα","NOUN"
"286","οὐ","ADV"
"287","δυνήσεται","VERB"
"288","ἀριθμηθῆναι","VERB"
"289",".","PUNCT"
"290","ἐλάλησα","VERB"
"291","ἐγὼ","PRON"
"292","ἐν","ADP"
"293","τῇ","DET"
"294","καρδίᾳ","NOUN"
"295","μου","PRON"
"296","τῷ","DET"
"297","λέγειν","VERB"
"298","Ἐγὼ","PRON"
"299","ἰδοὺ","INTJ"
"300","ἐμεγαλύνθην","VERB"
"301",",","PUNCT"
"302","καὶ","CCONJ"
"303","προσέθηκα","VERB"
"304","σοφίαν","NOUN"
"305","ἐπὶ","ADP"
"306","πᾶσιν","ADJ"
"307","οἳ","PRON"
"308","ἐγένοντο","VERB"
"309","ἔμπροσθέν","ADP"
"310","μου","PRON"
"311","ἐν","ADP"
"312","Ἰερουσαλήμ","PROPN"
"313","·","PUNCT"
"314","καὶ","CCONJ"
"315","καρδία","NOUN"
"316","μου","PRON"
"317","εἶδεν","VERB"
"318","πολλά","ADJ"
"319",",","PUNCT"
