"ID","TOKEN","NER"
"1",".","O"
"2","Ε","O"
"3",".","O"
"4","Ερμηνεία","O"
"5","Διαφόρων","O"
"6","εἰσ","O"
"7","τὸ","O"
"8","κατά","O"
"9","Λουκᾶν","LOC"
"10","Εὐαγγέλιον","LOC"
"11",".","O"
"12","α᾿","O"
"13",".","O"
"14","Ὅτι","O"
"15","οἱ","O"
"16","μὲν","O"
"17","ἄλλοι","O"
"18","Εὐαγγελισταὶ","O"
"19","ἐξ","O"
"20","αὐτῶν","O"
"21","ἄρχονται","O"
"22","τῶν","O"
"23","ὁ","O"
"24","δὲ","O"
"25","Ἅγιος","O"
"26","Λουκᾶς","PERSON"
"27","καὶ","O"
"28","προοιμίοις","O"
"29","κέχρηται","O"
"30",".","O"
"31","β΄","O"
"32",".","O"
"33","Περὲ","O"
"34","Ζαχαρίου","PERSON"
"35","τοῦ","O"
"36","πατρὸς","O"
"37","τοῦ","O"
"38","προδρόμου","LOC"
"39",".","LOC"
"40","γ΄","O"
"41",".","O"
"42","Περὶ","O"
"43","τοῦ","O"
"44","εὐαγγελισμοῦ","O"
"45",".","O"
"46","δ΄","O"
"47",".","O"
"48","Περὶ","O"
"49","τοῦ","O"
"50","ἀσπασμοῦ","O"
"51","τῆς","O"
"52","Ἐλισάβετ","PERSON"
"53",".","O"
"54","ε΄","O"
"55",".","O"
"56","Περὶ","O"
"57","τῆς","O"
"58","ἀπογραφῆς","O"
"59",".","O"
"60","ς΄","O"
"61",".","O"
"62","πεζὶ","O"
"63","τῶν","O"
"64","ἀγραυλούντων","O"
"65","ποιμένων","O"
"66",".","O"
"67","ζ΄","O"
"68",".","O"
"69","Περὶ","O"
"70","Συμεών","PERSON"
"71",".","O"
"72","η΄","O"
"73",".","O"
"74","Περὶ","O"
"75","Ἄννης","PERSON"
"76","τῆς","O"
"77","προφητίδος","O"
"78",",","O"
"79","καὶ","O"
"80","περὶ","O"
"81","τοῦ","O"
"82","δωδεκαετῆ","O"
"83","εἶναι","O"
"84","τὸν","O"
"85","Χριστόν","O"
"86",".","O"
"87","θ΄","O"
"88",".","O"
"89","Περὶ","O"
"90","τοῦ","O"
"91","γινομένου","O"
"92","ῥήματος","O"
"93","πρὸς","O"
"94","Ἰωάννην","PERSON"
"95",".","O"
"96","ι΄","O"
"97",".","O"
"98","Περὶ","O"
"99","τῆς","O"
"100","γενεαλογίας","O"
"101","τοῦ","O"
"102","Χριστοῦ","LOC"
"103",".","LOC"
"104","ια΄","O"
"105",".","O"
"106","Περὶ","O"
"107","τοῦ","O"
"108","ἀναγνῶναι","O"
"109","τὸν","O"
"110","Χριστὸν","O"
"111","εἰς","O"
"112","τὴν","O"
"113","συναγωγήν","O"
"114",".","O"
"115","ιβ΄","O"
"116",".","O"
"117","Περὶ","O"
"118","τῆς","O"
"119","ἄγρας","O"
"120","τῶν","O"
"121","ἰχθύων","O"
"122",".","O"
"123","ιγ΄","O"
"124",".","O"
"125","Διατί","O"
"126","εἴρηται","O"
"127","ἐν","O"
"128","σαββάτω̣","O"
"129","δευτεροπρώτῳ","O"
"130",".","O"
"131","ιδ΄","O"
"132",".","O"
"133","Περὶ","O"
"134","τοῦ","O"
"135","διανυκτερεῦσαι","O"
"136","τὸν","O"
"137","Χριστὸν","O"
"138","ἐν","O"
"139","τῇ","O"
"140","προσευχῇ","O"
"141",".","O"
"142","ιε΄","O"
"143",".","O"
"144","Περὶ","O"
"145","τοῦ","O"
"146","ταλανισμοῦ","O"
"147","τῶν","O"
"148","πλουτώντων","O"
"149","καὶ","O"
"150","τρυγώντων","O"
"151",".","O"
"152","ις΄","O"
"153",".","O"
"154","Περὶ","O"
"155","τοῦ","O"
"156","υἱοῦ","O"
"157","τῆς","O"
"158","χήρας","O"
"159",".","O"
"160","ιζ","O"
"161",".","O"
"162","Περὶ","O"
"163","τῆς","O"
"164","ἀλειψάσης","O"
"165","τὸν","O"
"166","Χριστὸν","LOC"
"167","μύρῳ","LOC"
"168",".","O"
"169","ιη","O"
"170",".","O"
"171","Περὶ","O"
"172","τοῦ","O"
"173","εἰπεῖν","O"
"174","πρὸς","O"
"175","τὸν","O"
"176","Ἰωάννην","PERSON"
"177",",","O"
"178","ἐπιστάτα","O"
"179",",","O"
"180","εἴδομέν","O"
"181","τινα","O"
"182","ἐπὶ","O"
"183","τῶ","O"
"184","ὀνόματί","O"
"185","σου","O"
"186","ἐκβάλλοντα","O"
"187","δαιμόνια","O"
"188",".","O"
"189","ιθ΄","O"
"190",".","O"
"191","Περὶ","O"
"192","τοῦ","O"
"193","εἰπόντος","O"
"194","ἀκολουθήσω","O"
"195","σοι","O"
"196",",","O"
"197","Κύριε","O"
"198",",","O"
"199","καὶ","O"
"200","περὶ","O"
"201","τῶν","O"
"202","ὁ","O"
