"ID","TOKEN","UPOS"
"1","Όροι","NOUN"
"2",".","PUNCT"
"3","Ὑποκείσθω","VERB"
"4","τὰς","DET"
"5","ἀπὸ","ADP"
"6","τοῦ","DET"
"7","ὄμματος","NOUN"
"8","ἐξαγομένας","VERB"
"9","εὐθείας","ADJ"
"10","γραμμὰς","NOUN"
"11","φέρεσθαι","VERB"
"12","διάστημα","NOUN"
"13","μεγεθῶν","NOUN"
"14","μεγάλων","ADJ"
"15",".","PUNCT"
"16","καὶ","CCONJ"
"17","τὸ","DET"
"18","μὲν","ADV"
"19","ὑπὸ","ADP"
"20","τῶν","DET"
"21","ὄψεων","NOUN"
"22","περιεχόμενον","VERB"
"23","σχῆμα","NOUN"
"24","εἶναι","AUX"
"25","κῶνον","NOUN"
"26","τὴν","DET"
"27","κορυφὴν","NOUN"
"28","μὲν","ADV"
"29","ἔχοντα","VERB"
"30","ἐν","ADP"
"31","τῷ","DET"
"32","ὄμματι","NOUN"
"33","τὴν","DET"
"34","δὲ","ADV"
"35","βάσιν","NOUN"
"36","πρὸς","ADP"
"37","τοῖς","DET"
"38","πέρασι","NOUN"
"39","τῶν","DET"
"40","ὁρωμένων","VERB"
"41",".","PUNCT"
"42","καὶ","CCONJ"
"43","ὁρᾶσθαι","VERB"
"44","μὲν","ADV"
"45","ταῦτα","ADJ"
"46",",","PUNCT"
"47","πρὸς","ADP"
"48","ἃ","PRON"
"49","ἂν","ADV"
"50","αἱ","DET"
"51","ὄψεις","NOUN"
"52","προσπίπτωσι","VERB"
"53",",","PUNCT"
"54","μὴ","ADV"
"55","ὁρᾶσθαι","VERB"
"56","δέ","ADV"
"57",",","PUNCT"
"58","πρὸς","ADP"
"59","ἃ","PRON"
"60","ἂν","ADV"
"61","μὴ","ADV"
"62","προσπίπτωσιν","VERB"
"63","αἱ","DET"
"64","ὄψεις","NOUN"
"65",".","PUNCT"
"66","καὶ","CCONJ"
"67","τὰ","DET"
"68","μὲν","ADV"
"69","ὑπὸ","ADP"
"70","μείζονος","ADJ"
"71","γωνίας","NOUN"
"72","ὁρώμενα","VERB"
"73","μείζονα","ADJ"
"74","φαίνεσθαι","VERB"
"75",",","PUNCT"
"76","τὰ","DET"
"77","δὲ","ADV"
"78","ὑπὸ","ADP"
"79","ἐλάττονος","ADJ"
"80","ἐλάττονα","ADJ"
"81",",","PUNCT"
"82","ἴσα","ADJ"
"83","δὲ","ADV"
"84","τὰ","DET"
"85","ὑπὸ","ADP"
"86","ἴσων","ADJ"
"87","γωνιῶν","NOUN"
"88","ὁρώμενα","VERB"
"89",".","PUNCT"
"90","καὶ","CCONJ"
"91","τὰ","DET"
"92","μὲν","ADV"
"93","ὑπὸ","ADP"
"94","μετεωροτέρων","ADJ"
"95","ἀκτίνων","NOUN"
"96","ὁρώμενα","VERB"
"97","μετεωρότερα","ADJ"
"98","φαίνεσθαι","VERB"
"99",",","PUNCT"
"100","τὰ","DET"
"101","δὲ","ADV"
"102","ὑπὸ","ADP"
"103","ταπεινοτέρων","ADJ"
"104","ταπεινότερα","ADJ"
"105",".","PUNCT"
"106","καὶ","CCONJ"
"107","ὁμοίως","ADV"
"108","τὰ","DET"
"109","μὲν","ADV"
"110","ὑπὸ","ADP"
"111","δεξιωτέρων","ADJ"
"112","ἀκτίνων","NOUN"
"113","ὁρώμενα","VERB"
"114","δεξιώτερα","ADJ"
"115","φαίνεσθαι","VERB"
"116",",","PUNCT"
"117","τὰ","DET"
"118","δὲ","ADV"
"119","ὑπὸ","ADP"
"120","ἀριστερωτέρων","ADJ"
