"ID","TOKEN","LEMMA"
"1","αἴτιος","αἴτιος"
"2",",",","
"3","αἰτία","αἰτία"
"4",".","."
"5","ἀλλάἄλλης","ἀλλάἄλλη"
"6","γαρ","ἐγαρ"
"7","γινεται","γινω"
"8",",",","
"9","γινονται","γινονται"
"10",",",","
"11","γινομενος","γινομενος"
"12",",",","
"13","γένηται","γίγνομαι"
"14",".","."
"15","γίνεσθαι","γίγνομαι"
"16","δύναμις","δύναμις"
"17",".","."
"18","εισιν","ει"
"19","εἶναι","εἰμί"
"20","εστιν","εστις"
"21","κατά","κατά"
"22",",",","
"23","κατ᾿","κατ"
"24",",",","
"25","καθ᾿","καθ"
"26","λόγος","λόγος"
"27",",",","
"28","λόγῳ","λόγος"
"29",".","."
"30","μεν","μεν"
"31",",",","
"32","μεν","μεν"
"33","μεθα","μεθα"
"34","νης","νης"
"35","νων","νων"
"36","οὕτως","οὕτως"
"37","παρά","παρά"
"38","πρός","πρός"
"39","πρότερον","πρότερος"
"40","των","των"
"41","ὑπάρχων","ὕπαρχος"
"42",",",","
"43","ὑπάρχει","ὑπάρχω"
"44",".","."
"45","φησίν","φημί"
"46",",",","
"47","φασίν","φημί"
"48",",",","
"49","φαμέν","φημί"
"50","ψυχήν","ψυχή"
"51","Ἐμπειρικοί","Ἐμπειρικός"
"52","Ἐριστράτειοι","Ἐριστράτειος"
"53","νεώτεροι","νέος"
