"ID","TOKEN","IS_PUNCT"
"1","ΑΓΓΑΙΟΣ","FALSE"
"2","ΕΝ","FALSE"
"3","τῷ","FALSE"
"4","δευτέρῳ","FALSE"
"5","ἔτει","FALSE"
"6","ἐπὶ","FALSE"
"7","Δαρίου","FALSE"
"8","τοῦ","FALSE"
"9","βασιλέως","FALSE"
"10","ἐν","FALSE"
"11","τῷ","FALSE"
"12","μηνὶ","FALSE"
"13","τῷ","FALSE"
"14","ἕκτῳ","FALSE"
"15","μιᾷ","FALSE"
"16","τοῦ","FALSE"
"17","μηνὸς","FALSE"
"18","ἐγένετο","FALSE"
"19","λόγος","FALSE"
"20","Κυρίου","FALSE"
"21","ἐν","FALSE"
"22","χειρὶ","FALSE"
"23","Ἀγγαίου","FALSE"
"24","τοῦ","FALSE"
"25","προφήτου","FALSE"
"26","λέγων","FALSE"
"27","Εἰπὸν","FALSE"
"28","πρὸς","FALSE"
"29","Ζοροβάβελ","FALSE"
"30","τὸν","FALSE"
"31","τοῦ","FALSE"
"32","Σαλαθιὴλ","FALSE"
"33","ἐκ","FALSE"
"34","φυλῆς","FALSE"
"35","Ἰούδα","FALSE"
"36","καὶ","FALSE"
"37","πρὸς","FALSE"
"38","Ἰησοῦν","FALSE"
"39","τὸν","FALSE"
"40","τοῦ","FALSE"
"41","Ἰωσεδὲκ","FALSE"
"42","τὸν","FALSE"
"43","ἱερέα","FALSE"
"44","τὸν","FALSE"
"45","μέγαν","FALSE"
"46","λέγων","FALSE"
"47","Τάδε","FALSE"
"48","λέγει","FALSE"
"49","Κύριος","FALSE"
"50","Παντοκράτωρ","FALSE"
"51","λέγων","FALSE"
"52","Ὁ","FALSE"
"53","λαὸς","FALSE"
"54","οὗτος","FALSE"
"55","λέγουσιν","FALSE"
"56","Οὐχ","FALSE"
"57","ἤκει","FALSE"
"58","ὁ","FALSE"
"59","καιρὸς","FALSE"
"60","τοῦ","FALSE"
"61","οἰκοδομῆσαι","FALSE"
"62","τὸν","FALSE"
"63","οἶκον","FALSE"
"64","Κυρίου","FALSE"
"65",".","TRUE"
"66","καὶ","FALSE"
"67","ἐγένετο","FALSE"
"68","λόγος","FALSE"
"69","Κυρίου","FALSE"
"70","ἐν","FALSE"
"71","χειρὶ","FALSE"
"72","Ἀγγαίου","FALSE"
"73","τοῦ","FALSE"
"74","προφήτου","FALSE"
"75","λέγων","FALSE"
"76","Εἰ","FALSE"
"77","καιρὸς","FALSE"
"78","μέν","FALSE"
"79","ὑμῖν","FALSE"
"80","ἐστιν","FALSE"
"81","τοῦ","FALSE"
"82","οἰκεῖν","FALSE"
"83","ἐν","FALSE"
"84","οἴκοις","FALSE"
"85","ὑμῶν","FALSE"
"86","κοιλοστάθμοις","FALSE"
"87",",","TRUE"
"88","ὁ","FALSE"
"89","δὲ","FALSE"
"90","οἶκος","FALSE"
"91","ὑμῶν","FALSE"
"92","ἐξηρήμωται","FALSE"
"93",";","TRUE"
"94","καὶ","FALSE"
"95","νῦν","FALSE"
"96","τάδε","FALSE"
"97","λέγει","FALSE"
"98","Κύριος","FALSE"
"99","Παντοκράτωρ","FALSE"
"100","Τάξατε","FALSE"
"101","δὴ","FALSE"
"102","τὰς","FALSE"
"103","καρδίας","FALSE"
"104","ὑμῶν","FALSE"
"105","εἰς","FALSE"
"106","τὰς","FALSE"
"107","ὁδοὺς","FALSE"
"108","ὑμῶν","FALSE"
"109","·","TRUE"
"110","ἐσπείρατε","FALSE"
"111","πολλὰ","FALSE"
"112","καὶ","FALSE"
"113","εἰσηνέγκατε","FALSE"
"114","ὀλίγα","FALSE"
"115",",","TRUE"
"116","ἐφάγετε","FALSE"
"117","καὶ","FALSE"
"118","οὐκ","FALSE"
"119","εἰς","FALSE"
"120","πλησμονήν","FALSE"
"121",",","TRUE"
"122","ἐπίετε","FALSE"
"123","καὶ","FALSE"
"124","οὐκ","FALSE"
"125","εἰς","FALSE"
"126","μέθην","FALSE"
"127",",","TRUE"
"128","περιεβάλεσθε","FALSE"
"129","καὶ","FALSE"
"130","οὐκ","FALSE"
"131","ἐθερμάνθητε","FALSE"
"132","ἐν","FALSE"
"133","αὐτοῖς","FALSE"
"134",",","TRUE"
"135","καὶ","FALSE"
"136","ὁ","FALSE"
"137","τοὺς","FALSE"
"138","μισθοὺς","FALSE"
"139","συνάγων","FALSE"
"140","συνήγαγεν","FALSE"
"141","εἰς","FALSE"
"142","δεσμὸν","FALSE"
"143","τετρυπημένον","FALSE"
"144",".","TRUE"
"145","τάδε","FALSE"
"146","λέγει","FALSE"
"147","Κύριος","FALSE"
"148","Παντοκράτωρ","FALSE"
"149","Θέσθε","FALSE"
"150","τὰς","FALSE"
"151","καρδίας","FALSE"
"152","ὑμῶν","FALSE"
"153","εἰς","FALSE"
"154","τὰς","FALSE"
"155","ὁδοὺς","FALSE"
"156","ὑμῶν","FALSE"
"157","·","TRUE"
"158","ἀνάβητε","FALSE"
"159","εἰς","FALSE"
"160","τὸ","FALSE"
"161","ὄρος","FALSE"
"162","καὶ","FALSE"
"163","κόψατε","FALSE"
"164","ξύλα","FALSE"
"165","καὶ","FALSE"
"166","οἰκοδομήσατε","FALSE"
"167","τὸν","FALSE"
"168","οἶκον","FALSE"
"169",",","TRUE"
"170","καὶ","FALSE"
"171","εὐδοκήσω","FALSE"
"172","ἐν","FALSE"
"173","αὐτῷ","FALSE"
"174","καὶ","FALSE"
"175","ἐνδοξασθήσομαι","FALSE"
"176",",","TRUE"
"177","εἶπεν","FALSE"
"178","Κύριος","FALSE"
"179",".","TRUE"
"180","ἐπεβλέψατε","FALSE"
