"ID","TOKEN","IS_STOP"
"1","Ἰφιγένεια","FALSE"
"2","Πέλοψ","FALSE"
"3","ὁ","TRUE"
"4","Ταντάλειος","FALSE"
"5","ἐς","TRUE"
"6","Πῖσαν","FALSE"
"7","μολὼν","FALSE"
"8","θοαῖσιν","FALSE"
"9","ἵπποις","FALSE"
"10","Οἰνομάου","FALSE"
"11","γαμεῖ","FALSE"
"12","κόρην","FALSE"
"13",",","FALSE"
"14","ἐξ","TRUE"
"15","ἧς","TRUE"
"16","Ἀτρεὺς","FALSE"
"17","ἔβλαστεν","FALSE"
"18","·","FALSE"
"19","Ἀτρέως","FALSE"
"20","δὲ","TRUE"
"21","παῖς","FALSE"
"22","Μενέλαος","FALSE"
"23","Ἀγαμέμνων","FALSE"
"24","τε","TRUE"
"25","·","FALSE"
"26","τοῦ","TRUE"
"27","δʼ","FALSE"
"28","ἔφυν","FALSE"
"29","ἐγώ","TRUE"
"30","τῆς","TRUE"
"31","Τυνδαρείας","FALSE"
"32","θυγατρὸς","FALSE"
"33","Ἰφιγένεια","FALSE"
"34","παῖς","FALSE"
"35",",","FALSE"
"36","ἣν","TRUE"
"37","ἀμφὶ","FALSE"
"38","δίναις","FALSE"
"39","ἃς","TRUE"
"40","θάμʼ","FALSE"
"41","Εὔριπος","FALSE"
"42","πυκναῖς","FALSE"
"43","αὔραις","FALSE"
"44","ἑλίσσων","FALSE"
"45","κυανέαν","FALSE"
"46","ἅλα","FALSE"
"47","στρέφει","FALSE"
"48",",","FALSE"
"49","ἔσφαξεν","FALSE"
"50","Ἑλένης","FALSE"
"51","οὕνεχʼ","FALSE"
"52",",","FALSE"
"53","ὡς","TRUE"
"54","δοκεῖ","FALSE"
"55",",","FALSE"
"56","πατὴρ","FALSE"
"57","Ἀρτέμιδι","FALSE"
"58","κλειναῖς","FALSE"
"59","ἐν","TRUE"
"60","πτυχαῖσιν","FALSE"
"61","Αὐλίδος","FALSE"
"62",".","FALSE"
"63","ἐνταῦθα","FALSE"
"64","γὰρ","TRUE"
"65","δὴ","TRUE"
"66","χιλίων","FALSE"
"67","ναῶν","FALSE"
"68","στόλον","FALSE"
"69","Ἑλληνικὸν","FALSE"
"70","συνήγαγʼ","FALSE"
"71","Ἀγαμέμνων","FALSE"
"72","ἄναξ","FALSE"
"73",",","FALSE"
"74","τὸν","TRUE"
"75","καλλίνικον","FALSE"
"76","στέφανον","FALSE"
"77","Ἰλίου","FALSE"
"78","θέλων","FALSE"
"79","λαβεῖν","FALSE"
"80","Ἀχαιοῖς","FALSE"
"81","τούς","TRUE"
"82","θʼ","FALSE"
"83","ὑβρισθέντας","FALSE"
"84","γάμους","FALSE"
"85","Ἑλένης","FALSE"
"86","μετελθεῖν","FALSE"
"87",",","FALSE"
"88","Μενέλεῳ","FALSE"
"89","χάριν","FALSE"
"90","φέρων","FALSE"
"91",".","FALSE"
"92","δεινῆς","FALSE"
"93","δʼ","FALSE"
"94","ἀπλοίας","FALSE"
"95","πνευμάτων","FALSE"
"96","τε","TRUE"
"97","τυγχάνων","FALSE"
"98",",","FALSE"
"99","ἐς","TRUE"
"100","ἔμπυρʼ","FALSE"
"101","ἦλθε","FALSE"
"102",",","FALSE"
"103","καὶ","TRUE"
"104","λέγει","FALSE"
"105","Κάλχας","FALSE"
"106","τάδε","TRUE"
"107","·","FALSE"
"108","ὦ","TRUE"
"109","τῆσδʼ","FALSE"
"110","ἀνάσσων","FALSE"
"111","Ἑλλάδος","FALSE"
"112","στρατηγίας","FALSE"
"113",",","FALSE"
"114","Ἀγάμεμνον","FALSE"
"115",",","FALSE"
"116","οὐ","TRUE"
"117","μὴ","TRUE"
"118","ναῦς","FALSE"
"119","ἀφορμίσῃ","FALSE"
"120","χθονός","FALSE"
"121",",","FALSE"
"122","πρὶν","FALSE"
"123","ἂν","TRUE"
"124","κόρην","FALSE"
"125","σὴν","TRUE"
"126","Ἰφιγένειαν","FALSE"
"127","Ἄρτεμις","FALSE"
"128","λάβῃ","FALSE"
"129","σφαγεῖσαν","FALSE"
"130","·","FALSE"
"131","ὅ","TRUE"
"132","τι","TRUE"
"133","γὰρ","TRUE"
"134","ἐνιαυτὸς","FALSE"
"135","τέκοι","FALSE"
"136","κάλλιστον","FALSE"
"137",",","FALSE"
"138","ηὔξω","FALSE"
"139","φωσφόρῳ","FALSE"
"140","θύσειν","FALSE"
"141","θεᾷ","FALSE"
"142",".","FALSE"
"143","παῖδʼ","FALSE"
"144","οὖν","TRUE"
"145","ἐν","TRUE"
"146","οἴκοις","FALSE"
"147","σὴ","TRUE"
"148","Κλυταιμήστρα","FALSE"
"149","δάμαρ","FALSE"
"150","τίκτει","FALSE"
"151","—","FALSE"
"152","τὸ","TRUE"
"153","καλλιστεῖον","FALSE"
"154","εἰς","TRUE"
"155","ἔμʼ","FALSE"
"156","ἀναφέρων","FALSE"
"157","—","FALSE"
"158","ἣν","TRUE"
"159","χρή","FALSE"
"160","σε","TRUE"
"161","θῦσαι","FALSE"
"162",".","FALSE"
"163","καί","TRUE"
"164","μʼ","FALSE"
"165","Ὀδυσσέως","FALSE"
"166","τέχναις","FALSE"
"167","μητρὸς","FALSE"
"168","παρείλοντʼ","FALSE"
"169","ἐπὶ","TRUE"
"170","γάμοις","FALSE"
"171","Ἀχιλλέως","FALSE"
"172",".","FALSE"
"173","ἐλθοῦσα","FALSE"
"174","δʼ","FALSE"
"175","Αὐλίδʼ","FALSE"
"176","ἡ","TRUE"
"177","τάλαινʼ","FALSE"
"178","ὑπὲρ","TRUE"
"179","πυρᾶς","FALSE"
"180","μεταρσία","FALSE"
"181","ληφθεῖσʼ","FALSE"
"182","ἐκαινόμην","FALSE"
"183","ξίφει","FALSE"
"184","·","FALSE"
"185","ἀλλʼ","FALSE"
"186","ἐξέκλεψεν","FALSE"
"187","ἔλαφον","FALSE"
"188","ἀντιδοῦσά","FALSE"
"189","μου","TRUE"
"190","Ἄρτεμις","FALSE"
"191","Ἀχαιοῖς","FALSE"
"192",",","FALSE"
"193","διὰ","TRUE"
"194","δὲ","TRUE"
"195","λαμπρὸν","FALSE"
"196","αἰθέρα","FALSE"
"197","πέμψασά","FALSE"
"198","μʼ","FALSE"
"199","ἐς","TRUE"
"200","τήνδʼ","FALSE"
"201","ᾤκισεν","FALSE"
"202","Ταύρων","FALSE"
"203","χθόνα","FALSE"
"204",",","FALSE"
"205","οὗ","TRUE"
"206","γῆς","FALSE"
"207","ἀνάσσει","FALSE"
"208","βαρβάροισι","FALSE"
"209","βάρβαρος","FALSE"
"210","Θόας","FALSE"
"211",",","FALSE"
"212","ὃς","TRUE"
"213","ὠκὺν","FALSE"
"214","πόδα","FALSE"
"215","τιθεὶς","FALSE"
"216","ἴσον","FALSE"
"217","πτεροῖς","FALSE"
"218","ἐς","TRUE"
"219","τοὔνομʼ","FALSE"
"220","ἦλθε","FALSE"
"221","τόδε","TRUE"
"222","ποδωκείας","FALSE"
"223","χάριν","FALSE"
"224",".","FALSE"
"225","ναοῖσι","FALSE"
"226","δʼ","FALSE"
"227","ἐν","TRUE"
"228","τοῖσδʼ","FALSE"
"229","ἱερέαν","FALSE"
"230","τίθησί","FALSE"
"231","με","TRUE"
"232","·","FALSE"
"233","ὅθεν","FALSE"
"234","νόμοισι","FALSE"
"235","τοῖσιν","TRUE"
"236","ἥδεται","FALSE"
"237","θεὰ","FALSE"
"238","Ἄρτεμις","FALSE"
"239",",","FALSE"
"240","ἑορτῆς","FALSE"
"241",",","FALSE"
"242","τοὔνομʼ","FALSE"
"243","ἧς","TRUE"
"244","καλὸν","FALSE"
"245","μόνον","FALSE"
"246","—","FALSE"
"247","τὰ","TRUE"
"248","δʼ","FALSE"
"249","ἄλλα","TRUE"
"250","σιγῶ","FALSE"
"251",",","FALSE"
"252","τὴν","TRUE"
"253","θεὸν","FALSE"
"254","φοβουμένη","FALSE"
"255","—","FALSE"
"256","θύω","FALSE"
"257","γὰρ","TRUE"
"258","ὄντος","TRUE"
"259","τοῦ","TRUE"
"260","νόμου","FALSE"
"261","καὶ","TRUE"
"262","πρὶν","FALSE"
"263","πόλει","FALSE"
"264",",","FALSE"
"265","ὃς","TRUE"
"266","ἂν","TRUE"
"267","κατέλθῃ","FALSE"
"268","τήνδε","TRUE"
"269","γῆν","FALSE"
"270","Ἕλλην","FALSE"
"271","ἀνήρ","FALSE"
"272",".","FALSE"
"273","κατάρχομαι","FALSE"
"274","μέν","TRUE"
"275",",","FALSE"
"276","σφάγια","FALSE"
"277","δʼ","FALSE"
"278","ἄλλοισιν","TRUE"
"279","μέλει","FALSE"
"280","ἄρρητʼ","FALSE"
"281","ἔσωθεν","FALSE"
"282","τῶνδʼ","FALSE"
"283","ἀνακτόρων","FALSE"
"284","θεᾶς","FALSE"
"285",".","FALSE"
"286","ἃ","TRUE"
"287","καινὰ","FALSE"
"288","δʼ","FALSE"
"289","ἥκει","FALSE"
"290","νὺξ","FALSE"
"291","φέρουσα","FALSE"
"292","φάσματα","FALSE"
"293",",","FALSE"
"294","λέξω","FALSE"
"295","πρὸς","TRUE"
"296","αἰθέρʼ","FALSE"
"297",",","FALSE"
"298","εἴ","TRUE"
"299","τι","TRUE"
"300","δὴ","TRUE"
"301","τόδʼ","FALSE"
"302","ἔστʼ","FALSE"
"303","ἄκος","FALSE"
"304",".","FALSE"
"305","ἔδοξʼ","FALSE"
"306","ἐν","TRUE"
"307","ὕπνῳ","FALSE"
"308","τῆσδʼ","FALSE"
"309","ἀπαλλαχθεῖσα","FALSE"
"310","γῆς","FALSE"
"311","οἰκεῖν","FALSE"
"312","ἐν","TRUE"
"313","Ἄργει","FALSE"
"314",",","FALSE"
"315","παρθένοισι","FALSE"
"316","δʼ","FALSE"
"317","ἐν","TRUE"
"318","μέσαις","FALSE"
"319","εὕδειν","FALSE"
"320",",","FALSE"
"321","χθονὸς","FALSE"
"322","δὲ","TRUE"
"323","νῶτα","FALSE"
"324","σεισθῆναι","FALSE"
"325","σάλῳ","FALSE"
"326",",","FALSE"
"327","φεύγειν","FALSE"
"328","δὲ","TRUE"
"329","κἄξω","FALSE"
"330","στᾶσα","FALSE"
"331","θριγκὸν","FALSE"
