"ID","TOKEN","UPOS"
"1","Ἀλκιβιάδης","PROPN"
"2","α","PRON"
"3","ΣΩ","ADJ"
"4",".","PUNCT"
"5","ὦ","INTJ"
"6","παῖ","NOUN"
"7","Κλεινίου","PROPN"
"8",",","PUNCT"
"9","οἶμαί","VERB"
"10","σε","PRON"
"11","θαυμάζειν","VERB"
"12","ὅτι","SCONJ"
"13","πρῶτος","ADJ"
"14","ἐραστής","NOUN"
"15","σου","PRON"
"16","γενόμενος","VERB"
"17","τῶν","DET"
"18","ἄλλων","ADJ"
"19","πεπαυμένων","VERB"
"20","μόνος","ADJ"
"21","οὐκ","ADV"
"22","ἀπαλλάττομαι","VERB"
"23",",","PUNCT"
"24","καὶ","CCONJ"
"25","ὅτι","SCONJ"
"26","οἱ","DET"
"27","μὲν","ADV"
"28","ἄλλοι","ADJ"
"29","διʼ","ADP"
"30","ὄχλου","NOUN"
"31","ἐγένοντό","VERB"
"32","σοι","PRON"
"33","διαλεγόμενοι","VERB"
"34",",","PUNCT"
"35","ἐγὼ","PRON"
"36","δὲ","ADV"
"37","τοσούτων","DET"
"38","ἐτῶν","NOUN"
"39","οὐδὲ","ADV"
"40","προσεῖπον","VERB"
"41",".","PUNCT"
"42","τούτου","ADJ"
"43","δὲ","ADV"
"44","τὸ","DET"
"45","αἴτιον","ADJ"
"46","γέγονεν","VERB"
"47","οὐκ","ADV"
"48","ἀνθρώπειον","ADJ"
"49",",","PUNCT"
"50","ἀλλά","CCONJ"
"51","τι","DET"
"52","δαιμόνιον","NOUN"
"53","ἐναντίωμα","NOUN"
"54",",","PUNCT"
"55","οὗ","PRON"
"56","σὺ","PRON"
"57","τὴν","DET"
"58","δύναμιν","NOUN"
"59","καὶ","CCONJ"
"60","ὕστερον","ADJ"
"61","πεύσῃ","VERB"
"62",".","PUNCT"
"63","νῦν","ADV"
"64","δὲ","ADV"
"65","ἐπειδὴ","SCONJ"
"66","οὐκέτι","ADV"
"67","ἐναντιοῦται","VERB"
"68",",","PUNCT"
"69","οὕτω","ADV"
"70","προσελήλυθα","VERB"
"71","·","PUNCT"
"72","εὔελπις","ADJ"
"73","δʼ","ADV"
