"ID","TOKEN","LEMMA"
"1","ΕΥ","ΕΥ"
"2",".","."
"3","σὺ","σύ"
"4","δὲ","δέ"
"5","δὴ","δή"
"6","τί","τίς"
"7","σιγᾷς","σιγάω"
"8",",",","
"9","ὦ","ὦ"
"10","Σώκρατες","Σωκράτης"
"11",",",","
"12","Ἱππίου","Ἱππίας"
"13","τοσαῦτα","τοσοῦτος"
"14","ἐπιδειξαμένου","ἐπιδειξαμένου"
"15",",",","
"16","καὶ","καί"
"17","οὐχὶ","οὐχί"
"18","ἢ","ἤ"
"19","συνεπαινεῖς","συνεπαινής"
"20","τι","τίς"
"21","τῶν","ὁ"
"22","εἰρημένων","λέγω"
"23","ἢ","ἤ"
"24","καὶ","καί"
"25","ἐλέγχεις","ἐλέγχω"
"26",",",","
"27","εἴ","εἰ"
"28","τί","τίς"
"29","σοι","σύ"
"30","μὴ","μή"
"31","καλῶς","καλῶς"
"32","δοκεῖ","δοκέω"
"33","εἰρηκέναι","λέγω"
"34",";",";"
"35","ἄλλως","ἄλλως"
"36","τε","τε"
"37","ἐπειδὴ","ἐπειδή"
"38","καὶ","καί"
"39","αὐτοὶ","αὐτός"
"40","λελείμμεθα","λελείμμεθα"
"41",",",","
"42","οἳ","ὁ"
"43","μάλιστʼ","μάλιστα"
"44","ἂν","ἄν"
"45","ἀντιποιησαίμεθα","ἀντιποιησαίμεθα"
"46","μετεῖναι","μεθίημι"
"47","ἡμῖν","ἡμεῖς"
"48","τῆς","ὁ"
"49","ἐν","ἐν"
"50","φιλοσοφίᾳ","φιλοσοφία"
"51","διατριβῆς","διατριβή"
"52",".","."
"53","ΣΩ","ΣΩ"
"54",".","."
"55","καὶ","καί"
"56","μήν","μήν"
"57",",",","
"58","ὦ","ὦ"
"59","Εὔδικε","Εὔδικος"
"60",",",","
"61","ἔστι","εἰμί"
"62","γε","γε"
"63","ἃ","ὅς"
"64","ἡδέως","ἡδέως"
"65","ἂν","ἄν"
"66","πυθοίμην","πυνθάνομαι"
"67","Ἱππίου","Ἱππίας"
"68","ὧν","ὅς"
"69","νυνδὴ","νῦν δή"
"70","ἔλεγεν","λέγω"
"71","περὶ","περί"
"72","Ὁμήρου","Ὅμηρος"
"73",".","."
"74","καὶ","καί"
"75","γὰρ","γάρ"
"76","τοῦ","ὁ"
"77","σοῦ","σύ"
"78","πατρὸς","πατήρ"
"79","Ἀπημάντου","Ἀπημάντης"
"80","ἤκουον","ἀκούω"
"81","ὅτι","ὅτι"
"82","ἡ","ὁ"
"83","Ἰλιὰς","Ἰλιάς"
"84","κάλλιον","καλός"
"85","εἴη","εἰμί"
"86","ποίημα","ποίημα"
"87","τῷ","ὁ"
"88","Ὁμήρῳ","Ὅμηρος"
"89","ἢ","ἤ"
"90","ἡ","ὁ"
"91","Ὀδύσσεια","Ὀδύσσεια"
"92",",",","
"93","τοσούτῳ","τοσοῦτος"
"94","δὲ","δέ"
"95","κάλλιον","καλός"
"96",",",","
"97","ὅσῳ","ὅσος"
"98","ἀμείνων","ἀγαθός"
"99","Ἀχιλλεὺς","Ἀχιλλεύς"
"100","Ὀδυσσέως","Ὀδυσσεύς"
"101","εἴη","εἰμί"
"102","·","·"
"103","ἑκάτερον","ἑκάτερος"
"104","γὰρ","γάρ"
"105","τούτων","οὗτος"
"106","τὸ","ὁ"
"107","μὲν","μέν"
"108","εἰς","εἰς"
"109","Ὀδυσσέα","Ὀδυσσεύς"
"110","ἔφη","φημί"
"111","πεποιῆσθαι","ποιέω"
"112",",",","
"113","τὸ","ὁ"
"114","δʼ","δέ"
"115","εἰς","εἰς"
"116","Ἀχιλλέα","Ἀχιλλεύς"
"117",".","."
"118","περὶ","περί"
"119","ἐκείνου","ἐκεῖνος"
"120","οὖν","οὖν"
"121","ἡδέως","ἡδέως"
"122","ἄν","ἄν"
"123",",",","
"124","εἰ","εἰ"
"125","βουλομένῳ","βούλομαι"
"126","ἐστὶν","εἰμί"
"127","Ἱππίᾳ","Ἱππίᾳς"
"128",",",","
"129","ἀναπυθοίμην","ἀναπυθοίμην"
"130","ὅπως","ὅπως"
"131","αὐτῷ","αὐτός"
"132","δοκεῖ","δοκέω"
"133","περὶ","περί"
"134","τοῖν","ὁ"
"135","ἀνδροῖν","ἀνήρ"
"136","τούτοιν","οὗτος"
"137",",",","
"138","πότερον","πότερον"
"139","ἀμείνω","ἀγαθός"
"140","φησὶν","φημί"
"141","εἶναι","εἰμί"
"142",",",","
"143","ἐπειδὴ","ἐπειδή"
"144","καὶ","καί"
"145","ἄλλα","ἄλλος"
"146","πολλὰ","πολύς"
"147","καὶ","καί"
"148","παντοδαπὰ","παντοδαπός"
"149","ἡμῖν","ἡμεῖς"
"150","ἐπιδέδεικται","ἐπιδείκνυμι"
"151","καὶ","καί"
"152","περὶ","περί"
"153","ποιητῶν","ποιητής"
"154","τε","τε"
"155","ἄλλων","ἄλλος"
"156","καὶ","καί"
"157","περὶ","περί"
"158","Ὁμήρου","Ὅμηρος"
"159",".","."
"160","ΕΥ","ΕΥ"
"161",".","."
"162","ἀλλὰ","ἀλλά"
"163","δῆλον","δῆλος"
"164","ὅτι","ὅτι"
"165","οὐ","οὐ"
"166","φθονήσει","φθονέω"
"167","Ἱππίας","Ἱππίας"
"168",",",","
"169","ἐάν","ἐάν"
"170","τι","τίς"
"171","αὐτὸν","αὐτός"
"172","ἐρωτᾷς","ἐρωτάω"
"173",",",","
"174","ἀποκρίνεσθαι","ἀποκρίνω"
"175",".","."
"176","ἦ","ἦ"
"177","γάρ","γάρ"
"178",",",","
"179","ὦ","ὦ"
"180","Ἱππία","Ἱππίας"
"181",",",","
"182","ἐάν","ἐάν"
"183","τι","τίς"
"184","ἐρωτᾷ","ἐρωτάω"
"185","σε","σύ"
"186","Σωκράτης","Σωκράτης"
"187",",",","
"188","ἀποκρινῇ","ἀποκρίνω"
"189",";",";"
"190","ἢ","ἤ"
"191","πῶς","πῶς"
"192","ποιήσεις","ποιέω"
"193",";",";"
"194","ΙΠ","ΙΠ"
"195",".","."
"196","καὶ","καί"
"197","γὰρ","γάρ"
"198","ἂν","ἄν"
"199","δεινὰ","δεῖνα"
"200","ποιοίην","ποιέω"
"201",",",","
"202","ὦ","ὦ"
"203","Εὔδικε","Εὔδικος"
"204",",",","
"205","εἰ","εἰ"
"206","Ὀλυμπίαζε","Ὀλυμπία"
"207","μὲν","μέν"
"208","εἰς","εἰς"
"209","τὴν","ὁ"
"210","τῶν","ὁ"
"211","Ἑλλήνων","Ἕλλην"
"212","πανήγυριν","πανήγυρις"
"213",",",","
"214","ὅταν","ὅταν"
"215","τὰ","ὁ"
"216","Ὀλύμπια","Ὀλύμπιος"
"217","ᾖ","εἰμί"
"218",",",","
"219","ἀεὶ","ἀεί"
"220","ἐπανιὼν","ἐπάνειμι"
"221","οἴκοθεν","οἶκος"
"222","ἐξ","ἐκ"
"223","Ἤλιδος","Ἦλις"
"224","εἰς","εἰς"
"225","τὸ","ὁ"
"226","ἱερὸν","ἱερόν"
"227","παρέχω","παρέχω"
"228","ἐμαυτὸν","ἐμαυτοῦ"
"229","καὶ","καί"
"230","λέγοντα","λέγω"
"231","ὅτι","ὅτι"
"232","ἄν","ἄν"
"233","τις","τίς"
"234","βούληται","βούλομαι"
"235","ὧν","ὅς"
"236","ἄν","ἄν"
"237","μοι","ἐγώ"
"238","εἰς","εἰς"
"239","ἐπίδειξιν","ἐπίδειξις"
"240","παρεσκευασμένον","παρασκευάζω"
"241","ᾖ","εἰμί"
"242",",",","
"243","καὶ","καί"
"244","ἀποκρινόμενον","ἀποκρίνω"
"245","τῷ","ὁ"
"246","βουλομένῳ","βούλομαι"
"247","ὅτι","ὅτι"
"248","ἄν","ἄν"
"249","τις","τίς"
"250","ἐρωτᾷ","ἐρωτάω"
"251",",",","
"252","νῦν","νῦν"
"253","δὲ","δέ"
"254","τὴν","ὁ"
"255","Σωκράτους","Σωκράτης"
"256","ἐρώτησιν","ἐρώτησις"
"257","φύγοιμι","φύγω"
"258",".","."
"259","ΣΩ","ΣΩ"
"260",".","."
"261","μακάριόν","μακάριος"
"262","γε","γε"
"263",",",","
"264","ὦ","ὦ"
"265","Ἱππία","Ἱππίας"
"266",",",","
"267","πάθος","πάθος"
"268","πέπονθας","πάσχω"
"269",",",","
"270","εἰ","εἰ"
"271","ἑκάστης","ἕκαστος"
"272","Ὀλυμπιάδος","Ὀλυμπιάς"
"273","οὕτως","οὕτως"
"274","εὔελπις","εὔελπις"
"275","ὢν","εἰμί"
"276","περὶ","περί"
"277","τῆς","ὁ"
"278","ψυχῆς","ψυχή"
"279","εἰς","εἰς"
"280","σοφίαν","σοφία"
"281","ἀφικνῇ","ἀφικνῇ"
"282","εἰς","εἰς"
"283","τὸ","ὁ"
"284","ἱερόν","ἱερόν"
"285","·","·"
"286","καὶ","καί"
"287","θαυμάσαιμʼ","θαυμάζω"
"288","ἂν","ἄν"
"289","εἴ","εἰ"
"290","τις","τίς"
"291","τῶν","ὁ"
"292","περὶ","περί"
"293","τὸ","ὁ"
"294","σῶμα","σῶμα"
"295","ἀθλητῶν","ἀθλητέω"
"296","οὕτως","οὕτως"
"297","ἀφόβως","ἀφόβως"
"298","τε","τε"
"299","καὶ","καί"
"300","πιστευτικῶς","πιστευτικός"
"301","ἔχων","ἔχω"
"302","τῷ","ὁ"
"303","σώματι","σῶμα"
"304","ἔρχεται","ἔρχομαι"
"305","αὐτόσε","αὐτόσε"
"306","ἀγωνιούμενος","ἀγωνίζομαι"
"307",",",","
"308","ὥσπερ","ὥσπερ"
"309","σὺ","σύ"
"310","φῂς","φημί"
"311","τῇ","ὁ"
"312","διανοίᾳ","διάνοια"
"313",".","."
"314","ΙΠ","ΙΠ"
"315",".","."
"316","εἰκότως","εἰκός"
"317",",",","
"318","ὦ","ὦ"
"319","Σώκρατες","Σωκράτης"
"320",",",","
"321","ἐγὼ","ἐγώ"
"322","τοῦτο","οὗτος"
"323","πέπονθα","πάσχω"
"324","·","·"
"325","ἐξ","ἐκ"
"326","οὗ","ὅς"
"327","γὰρ","γάρ"
"328","ἦργμαι","ἦργμαι"
"329","Ὀλυμπίασιν","Ὀλυμπία"
"330","ἀγωνίζεσθαι","ἀγωνίζομαι"
"331",",",","
"332","οὐδενὶ","οὐδείς"
"333","πώποτε","πώποτε"
"334","κρείττονι","κρείσσων"
"335","εἰς","εἰς"
"336","οὐδὲν","οὐδείς"
"337","ἐμαυτοῦ","ἐμαυτοῦ"
