"ID","TOKEN","NER"
"1","Εἲς","O"
"2","Ἀπόλλωνα","GOD"
"3","Δήλιον","LOC"
"4","μνήσομαι","O"
"5","οὐδὲ","O"
"6","λάθωμαι","O"
"7","Ἀπόλλωνος","GOD"
"8","ἑκάτοιο","O"
"9",",","O"
"10","ὅντε","O"
"11","θεοὶ","O"
"12","κατὰ","O"
"13","δῶμα","O"
"14","Διὸς","GOD"
"15","τρομέουσιν","O"
"16","ἰόντα","O"
"17","·","O"
"18","καί","O"
"19","ῥά","O"
"20","τʼ","O"
"21","ἀναΐσσουσιν","O"
"22","ἐπὶ","O"
"23","σχεδὸν","O"
"24","ἐρχομένοιο","O"
"25","πάντες","O"
"26","ἀφʼ","O"
"27","ἑδράων","O"
"28",",","O"
"29","ὅτε","O"
"30","φαίδιμα","O"
"31","τόξα","O"
"32","τιταίνει","O"
"33",".","O"
"34","Λητὼ","GOD"
"35","δʼ","O"
"36","οἴη","O"
"37","μίμνε","O"
"38","παραὶ","O"
"39","Διὶ","GOD"
"40","τερπικεραύνῳ","O"
"41",",","O"
"42","ἥ","O"
"43","ῥα","O"
"44","βιόν","O"
"45","τʼ","O"
"46","ἐχάλασσε","O"
"47","καὶ","O"
"48","ἐκλήισσε","O"
"49","φαρέτρην","O"
"50",",","O"
"51","καί","O"
"52","οἱ","O"
"53","ἀπʼ","O"
"54","ἰφθίμων","O"
"55","ὤμων","O"
"56","χείρεσσιν","O"
"57","ἑλοῦσα","O"
"58","τόξα","O"
"59","κατεκρέμασε","O"
"60","πρὸς","O"
"61","κίονα","O"
"62","πατρὸς","O"
"63","ἑοῖο","O"
"64","πασσάλου","O"
"65","ἐκ","O"
"66","χρυσέου","O"
"67","·","O"
"68","τὸν","O"
"69","δʼ","O"
"70","ἐς","O"
"71","θρόνον","O"
"72","εἷσεν","O"
"73","ἄγουσα","O"
"74",".","O"
"75","τῷ","O"
"76","δʼ","O"
"77","ἄρα","O"
"78","νέκταρ","O"
"79","ἔδωκε","O"
"80","πατὴρ","O"
"81","δέπαϊ","O"
"82","χρυσείῳ","O"
"83","δεικνύμενος","O"
"84","φίλον","O"
"85","υἱόν","O"
"86","·","O"
"87","ἔπειτα","O"
"88","δὲ","O"
"89","δαίμονες","O"
"90","ἄλλοι","O"
"91","ἔνθα","O"
"92","καθίζουσιν","O"
"93","·","O"
"94","χαίρει","O"
"95","δέ","O"
"96","τε","O"
"97","πότνια","O"
"98","Λητώ","GOD"
"99",",","O"
"100","οὕνεκα","O"
"101","τοξοφόρον","O"
"102","καὶ","O"
"103","καρτερὸν","O"
"104","υἱὸν","O"
"105","ἔτικτε","O"
"106",".","O"
"107","χαῖρε","O"
"108",",","O"
"109","μάκαιρʼ","O"
"110","ὦ","O"
"111","Λητοῖ","GOD"
"112",",","O"
"113","ἐπεὶ","O"
"114","τέκες","O"
"115","ἀγλαὰ","O"
"116","τέκνα","O"
"117",",","O"
"118","Ἀπόλλωνά","GOD"
"119","τʼ","O"
"120","ἄνακτα","O"
"121","καὶ","O"
"122","Ἄρτεμιν","GOD"
"123","ἰοχέαιραν","GOD"
"124",",","O"
"125","τὴν","O"
"126","μὲν","O"
"127","ἐν","O"
"128","Ὀρτυγίῃ","LOC"
"129",",","O"
"130","τὸν","O"
"131","δὲ","O"
"132","κραναῇ","O"
"133","ἐνὶ","O"
"134","Δήλῳ","LOC"
"135",",","O"
"136","κεκλιμένη","O"
"137","πρὸς","O"
"138","μακρὸν","O"
"139","ὄρος","O"
"140","καὶ","O"
"141","Κύνθιον","O"
"142","ὄχθον","O"
"143",",","O"
"144","ἀγχοτάτω","O"
"145","φοίνικος","NORP"
"146",",","O"
"147","ἐπʼ","O"
"148","Ἰνωποῖο","GOD"
"149","ῥεέθροις","O"
"150",".","O"
"151","πῶς","O"
"152","τʼ","O"
"153","ἄρ","O"
"154","σʼ","O"
"155","ὑμνήσω","O"
"156","πάντως","O"
"157","εὔυμνον","O"
"158","ἐόντα","O"
"159",";","O"
"160","πάντη","O"
"161","γάρ","O"
"162","τοι","O"
"163",",","O"
"164","Φοῖβε","GOD"
"165",",","O"
"166","νόμοι","O"
"167","βεβλήατʼ","O"
"168","ἀοιδῆς","O"
"169",",","O"
"170","ἠμὲν","O"
"171","ἀνʼ","O"
"172","ἤπειρον","O"
"173","πορτιτρόφον","O"
"174","ἠδʼ","O"
"175","ἀνὰ","O"
"176","νήσους","O"
"177","·","O"
"178","πᾶσαι","O"
"179","δὲ","O"
"180","σκοπιαί","O"
"181","τοι","O"
"182","ἅδον","O"
"183","καὶ","O"
"184","πρώονες","O"
"185","ἄκροι","O"
"186","ὑψηλῶν","O"
"187","ὀρέων","O"
"188","ποταμοί","O"
"189","θʼ","O"
"190","ἅλαδε","O"
"191","προρέοντες","O"
"192","ἀκταί","O"
"193","τʼ","O"
"194","εἰς","O"
"195","ἅλα","O"
"196","κεκλιμέναι","O"
"197","λιμένες","O"
"198","τε","O"
"199","θαλάσσης","O"
"200",".","O"
"201","ἦ","O"
"202","ὥς","O"
"203","σε","O"
"204","πρῶτον","O"
"205","Λητὼ","GOD"
"206","τέκε","O"
"207",",","O"
"208","χάρμα","O"
"209","βροτοῖσι","O"
"210",",","O"
"211","κλινθεῖσα","O"
"212","πρὸς","O"
"213","Κύνθου","LOC"
"214","ὄρος","O"
"215","κραναῇ","O"
"216","ἐνὶ","O"
"217","νήσῳ","O"
"218",",","O"
"219","Δήλῳ","LOC"
"220","ἐν","O"
"221","ἀμφιρύτῃ","O"
"222",";","O"
"223","ἑκάτερθε","O"
"224","δὲ","O"
"225","κῦμα","O"
"226","κελαινὸν","O"
"227","ἐξῄει","O"
"228","χέρσονδε","O"
"229","λιγυπνοίοις","O"
"230","ἀνέμοισιν","O"
"231",",","O"
"232","ἔνθεν","O"
"233","ἀπορνύμενος","O"
"234","πᾶσι","O"
"235","θνητοῖσιν","O"
"236","ἀνάσσεις","O"
"237",".","O"
"238","ὅσσους","O"
"239","Κρήτη","O"
"240","τʼ","O"
"241","ἐντὸς","O"
"242","ἔχει","O"
"243","καὶ","O"
"244","δῆμος","O"
"245","Ἀθηνῶν","LOC"
"246","νῆσός","LOC"
"247","τʼ","O"
"248","Αἰγίνη","LOC"
"249","ναυσικλειτή","PERSON"
"250","τʼ","O"
"251","Εὔβοια","LOC"
"252",",","O"
"253","Αἰγαί","LOC"
"254",",","O"
"255","Πειρεσίαι","NORP"
"256","τε","O"
"257","καὶ","O"
"258","ἀγχιάλη","LOC"
"259","Πεπάρηθος","LOC"
"260","Θρηίκιός","NORP"
"261","τʼ","O"
"262","Ἀθόως","NORP"
"263","καὶ","O"
"264","Πηλίου","LOC"
"265","ἄκρα","O"
"266","κάρηνα","O"
"267","Θρηικίη","NORP"
"268","τε","O"
"269","Σάμος","LOC"
"270","Ἴδης","LOC"
"271","τʼ","O"
"272","ὄρεα","O"
"273","σκιόεντα","O"
"274",",","O"
"275","Σκῦρος","LOC"
"276","καὶ","O"
"277","Φώκαια","LOC"
"278","καὶ","O"
"279","Αὐτοκάνης","LOC"
"280","ὄρος","O"
"281","αἰπύ","O"
"282",",","O"
"283","Ἴμβρος","LOC"
"284","τʼ","O"
"285","εὐκτιμένη","O"
"286","καὶ","O"
"287","Λῆμνος","LOC"
"288","ἀμιχθαλόεσσα","O"
"289","Λέσβος","LOC"
"290","τʼ","O"
"291","ἠγαθέη","LOC"
"292",",","O"
"293","Μάκαρος","LOC"
"294","ἕδος","O"
"295","Αἰολίωνος","LOC"
"296",",","O"
"297","καὶ","O"
"298","Χίος","LOC"
"299",",","O"
"300","ἣ","O"
"301","νήσων","O"
"302","λιπαρωτάτη","O"
"303","εἰν","O"
"304","ἁλὶ","O"
"305","κεῖται","O"
"306",",","O"
"307","παιπαλόεις","O"
"308","τε","O"
"309","Μίμας","LOC"
"310","καὶ","O"
"311","Κωρύκου","LOC"
"312","ἄκρα","O"
"313","κάρηνα","O"
"314","καὶ","O"
"315","Κλάρος","LOC"
"316","αἰγλήεσσα","O"
"317","καὶ","O"
"318","Αἰσαγέης","LOC"
"319","ὄρος","O"
"320","αἰπὺ","O"
"321","καὶ","O"
"322","Σάμος","LOC"
"323","ὑδρηλὴ","O"
"324","Μυκάλης","LOC"
"325","τʼ","O"
"326","αἰπεινὰ","O"
"327","κάρηνα","O"
"328","Μίλητός","LOC"
"329","τε","O"
"330","Κόως","PERSON"
"331","τε","O"
"332",",","O"
"333","πόλις","O"
"334","Μερόπων","NORP"
"335","ἀνθρώπων","O"
"336",",","O"
"337","καὶ","O"
"338","Κνίδος","LOC"
"339","αἰπεινὴ","O"
"340","καὶ","O"
"341","Κάρπαθος","LOC"
"342","ἠνεμόεσσα","NORP"
"343","Νάξος","LOC"
"344","τʼ","O"
"345","ἠδὲ","O"
"346","Πάρος","O"
"347","Ῥήναιά","LOC"
"348","τε","O"
"349","πετρήεσσα","O"
"350",",","O"
"351","τόσσον","O"
"352","ἔπʼ","O"
"353","ὠδίνουσα","O"
"354","Ἑκηβόλον","O"
"355","ἵκετο","O"
"356","Λητώ","GOD"
"357",",","O"
"358","εἴ","O"
"359","τίς","O"
"360","οἱ","O"
"361","γαιέων","O"
"362","υἱεῖ","O"
"363","θέλοι","O"
"364","οἰκία","O"
"365","θέσθαι","O"
"366",".","O"
"367","αἳ","O"
"368","δὲ","O"
"369","μάλʼ","O"
"370","ἐτρόμεον","O"
"371","καὶ","O"
"372","ἐδείδισαν","O"
"373",",","O"
"374","οὐδέ","O"
"375","τις","O"
"376","ἔτλη","O"
"377","Φοῖβον","GOD"
"378","δέξασθαι","O"
"379",",","O"
"380","καὶ","O"
"381","πιοτέρη","O"
"382","περ","O"
"383","ἐοῦσα","O"
"384","·","O"
"385","πρίν","O"
"386","γʼ","O"
"387","ὅτε","O"
"388","δή","O"
"389","ῥʼ","O"
"390","ἐπὶ","O"
"391","Δήλου","LOC"
"392","ἐβήσατο","O"
"393","πότνια","O"
"394","Λητὼ","GOD"
"395","καί","O"
"396","μιν","O"
"397","ἀνειρομένη","O"
"398","ἔπεα","O"
"399","πτερόεντα","O"
"400","προσηύδα","O"
"401","·","O"
"402","δῆλʼ","LOC"
"403",",","O"
"404","εἰ","O"
"405","γάρ","O"
"406","κʼ","O"
"407","ἐθέλοις","O"
"408","ἕδος","O"
"409","ἔμμεναι","O"
"410","υἷος","O"
"411","ἐμοῖο","O"
"412",",","O"
"413","Φοίβου","GOD"
"414","Ἀπόλλωνος","GOD"
"415",",","O"
"416","θέσθαι","O"
"417","τʼ","O"
"418","ἔνι","O"
"419","πίονα","O"
"420","νηόν","O"
"421",",","O"
"422","—","O"
"423","ἄλλος","O"
"424","δʼ","O"
"425","οὔτις","O"
"426","σεῖό","O"
"427","ποθʼ","O"
"428","ἅψεται","O"
"429",",","O"
"430","οὐδέ","O"
"431","σε","O"
"432","λήσει","O"
"433","·","O"
"434","οὐδʼ","O"
"435","εὔβων","O"
"436","σέ","O"
"437","γʼ","O"
"438","ἔσεσθαι","O"
"439","ὀίομαι","O"
"440","οὔτʼ","O"
"441","εὔμηλον","O"
"442",",","O"
"443","οὐδὲ","O"
"444","τρύγην","O"
"445","οἴσεις","O"
"446","οὔτʼ","O"
"447","ἂρ","O"
"448","φυτὰ","O"
"449","μυρία","O"
"450","φύσεις","O"
"451",".","O"
"452","εἰ","O"
"453","δέ","O"
"454","κʼ","O"
"455","Ἀπόλλωνος","GOD"
"456","ἑκαέργου","O"
"457","νηὸν","O"
"458","ἔχῃσθα","O"
"459",",","O"
"460","ἄνθρωποί","O"
"461","τοι","O"
"462","πάντες","O"
"463","ἀγινήσουσʼ","O"
"464","ἑκατόμβας","O"
"465","ἐνθάδʼ","O"
"466","ἀγειρόμενοι","O"
"467",",","O"
"468","κνίσση","O"
"469","δέ","O"
"470","τοι","O"
"471","ἄσπετος","O"
"472","αἰεὶ","O"
"473","δημοῦ","O"
"474","ἀναΐξει","O"
"475","βοσκήσεις","O"
"476","θʼ","O"
"477","οἵ","O"
"478","κέ","O"
"479","σʼ","O"
"480","ἔχωσι","O"
"481","χειρὸς","O"
"482","ἀπʼ","O"
"483","ἀλλοτρίης","O"
"484",",","O"
"485","ἐπεὶ","O"
"486","οὔ","O"
"487","τοι","O"
"488","πῖαρ","O"
"489","ὑπʼ","O"
"490","οὖδας","O"
"491",".","O"
"492","ὣς","O"
"493","φάτο","O"
"494","·","O"
"495","χαῖρε","O"
"496","δὲ","O"
"497","Δῆλος","O"
"498",",","O"
"499","ἀμειβομένη","O"
"500","δὲ","O"
"501","προσηύδα","O"
"502","·","O"
"503","Λητοῖ","GOD"
"504",",","O"
"505","κυδίστη","O"
"506","θύγατερ","O"
"507","μεγάλου","O"
"508","Κοίοιο","O"
"509",",","O"
"510","ἀσπασίη","O"
"511","κεν","O"
"512","ἐγώ","O"
"513","γε","O"
"514","γονὴν","O"
"515","ἑκάτοιο","O"
"516","ἄνακτος","O"
"517","δεξαίμην","O"
"518","·","O"
"519","αἰνῶς","O"
"520","γὰρ","O"
"521","ἐτήτυμόν","O"
"522","εἰμι","O"
"523","δυσηχὴς","O"
"524","ἀνδράσιν","O"
"525","·","O"
"526","ὧδε","O"
"527","δέ","O"
"528","κεν","O"
"529","περιτιμήεσσα","O"
"530","γενοίμην","O"
"531",".","O"
"532","ἀλλὰ","O"
"533","τόδε","O"
"534","τρομέω","O"
"535",",","O"
"536","Λητοῖ","GOD"
"537",",","O"
"538","ἔπος","O"
"539",",","O"
"540","οὐδέ","O"
"541","σε","O"
"542","κεύσω","O"
"543","·","O"
"544","λίην","O"
"545","γάρ","O"
"546","τινά","O"
"547","φασιν","O"
"548","ἀτάσθαλον","O"
"549","Ἀπόλλωνα","GOD"
"550","ἔσσεσθαι","O"
"551",",","O"
"552","μέγα","O"
"553","δὲ","O"
"554","πρυτανευσέμεν","O"
"555","ἀθανάτοισι","O"
"556","καὶ","O"
"557","θνητοῖσι","O"
"558","βροτοῖσιν","O"
"559","ἐπὶ","O"
"560","ζείδωρον","O"
"561","ἄρουραν","O"
"562",".","O"
"563","τῷ","O"
"564","ῥʼ","O"
"565","αἰνῶς","O"
"566","δείδοικα","O"
"567","κατὰ","O"
"568","φρένα","O"
"569","καὶ","O"
"570","κατὰ","O"
"571","θυμόν","O"
"572",",","O"
"573","μή","O"
"574",",","O"
"575","ὁπότʼ","O"
"576","ἂν","O"
"577","τὸ","O"
"578","πρῶτον","O"
"579","ἴδῃ","O"
"580","φάος","O"
"581","ἠελίοιο","O"
"582",",","O"
"583","νῆσον","O"
"584","ἀτιμήσας","O"
"585",",","O"
"586","ἐπεὶ","O"
"587","ἦ","O"
"588","κραναήπεδός","O"
"589","εἰμι","O"
"590",",","O"
"591","ποσσὶ","O"
"592","καταστρέψας","O"
"593","ὤσῃ","O"
"594","ἁλὸς","O"
"595","ἐν","O"
"596","πελάγεσσιν","O"
"597",",","O"
"598","ἔνθʼ","O"
"599","ἐμὲ","O"
"600","μὲν","O"
"601","μέγα","O"
"602","κῦμα","O"
"603","κατὰ","O"
"604","κρατὸς","O"
"605","ἅλις","O"
"606","αἰεὶ","O"
"607","κλύσσει","O"
"608","·","O"
"609","ὃ","O"
"610","δʼ","O"
"611","ἄλλην","O"
"612","γαῖαν","O"
"613","ἀφίξεται","O"
"614",",","O"
"615","ἥ","O"
"616","κεν","O"
"617","ἅδῃ","O"
"618","οἱ","O"
"619",",","O"
"620","τεύξασθαι","O"
"621","νηόν","O"
"622","τε","O"
"623","καὶ","O"
"624","ἄλσεα","O"
"625","δενδρήεντα","O"
"626","·","O"
"627","πουλύποδες","O"
"628","δʼ","O"
"629","ἐν","O"
"630","ἐμοὶ","O"
"631","θαλάμας","O"
"632","φῶκαί","NORP"
"633","τε","O"
"634","μέλαιναι","O"
"635","οἰκία","O"
"636","ποιήσονται","O"
"637","ἀκηδέα","O"
"638",",","O"
"639","χήτεϊ","O"
"640","λαῶν","O"
"641",".","O"
"642","ἀλλʼ","O"
"643","εἴ","O"
"644","μοι","O"
"645","τλαίης","O"
"646","γε","O"
"647",",","O"
"648","θεά","O"
"649",",","O"
"650","μέγαν","O"
"651","ὅρκον","O"
"652","ὀμόσσαι","O"
"653",",","O"
"654","ἐνθάδε","O"
"655","μιν","O"
"656","πρῶτον","O"
"657","τεύξειν","O"
"658","περικαλλέα","O"
"659","νηὸν","O"
"660","ἔμμεναι","O"
"661","ἀνθρώπων","O"
"662","χρηστήριον","O"
"663",",","O"
"664","αὐτὰρ","O"
"665","ἔπειτα","O"
"666","τεύξασθαι","O"
"667","νηούς","O"
"668","τε","O"
"669","καὶ","O"
"670","ἄλσεα","O"
"671","δενδρηέντα","O"
"672","πάντας","O"
"673","ἐπʼ","O"
"674","ἀνθρώπους","O"
"675",",","O"
"676","ἐπεὶ","O"
"677","ἦ","O"
"678","πολυώνυμος","O"
"679","ἔσται","O"
"680",".","O"
"681","ὣς","O"
"682","ἄρ","O"
"683","ἔφη","O"
"684","·","O"
"685","Λητὼ","GOD"
"686","δὲ","O"
"687","θεῶν","O"
"688","μέγαν","O"
"689","ὅρκον","O"
"690","ὄμοσσε","O"
"691","·","O"
"692","ἴστω","O"
"693","νῦν","O"
"694","τάδε","O"
"695","Γαῖα","O"
"696","καὶ","O"
"697","Οὐρανὸς","O"
"698","εὐρὺς","O"
"699","ὕπερθεν","O"
"700","καὶ","O"
"701","τὸ","O"
"702","κατειβόμενον","O"
"703","Στυγὸς","O"
"704","ὕδωρ","O"
"705",",","O"
"706","ὅστε","O"
"707","μέγιστος","O"
"708","ὅρκος","O"
"709","δεινότατός","O"
"710","τε","O"
"711","πέλει","O"
"712","μακάρεσσι","O"
"713","θεοῖσιν","O"
"714","·","O"
"715","ἦ","O"
"716","μὴν","O"
"717","Φοίβου","GOD"
"718","τῇδε","O"
"719","θυώδης","O"
"720","ἔσσεται","O"
"721","αἰεὶ","O"
"722","βωμὸς","O"
"723","καὶ","O"
"724","τέμενος","O"
"725",",","O"
"726","τίσει","O"
"727","δέ","O"
"728","σέ","O"
"729","γʼ","O"
"730","ἔξοχα","O"
"731","πάντων","O"
"732",".","O"
"733","αὐτὰρ","O"
"734","ἐπεί","O"
"735","ῥʼ","O"
"736","ὄμοσέν","O"
"737","τε","O"
"738","τελεύτησέν","O"
"739","τε","O"
"740","τὸν","O"
"741","ὅρκον","O"
"742",",","O"
"743","Δῆλος","O"
"744","μὲν","O"
"745","μάλα","O"
"746","χαῖρε","O"
"747","γονῇ","O"
"748","ἑκάτοιο","O"
"749","ἄνακτος","O"
"750","·","O"
"751","Λητὼ","GOD"
"752","δʼ","O"
"753","ἐννῆμάρ","O"
"754","τε","O"
"755","καὶ","O"
"756","ἐννέα","O"
"757","νύκτας","O"
"758","ἀέλπτοις","O"
"759","ὠδίνεσσι","O"
"760","πέπαρτο","O"
"761",".","O"
"762","θεαὶ","O"
"763","δʼ","O"
"764","ἔσαν","O"
"765","ἔνδοθι","O"
"766","πᾶσαι","O"
"767",",","O"
"768","ὅσσαι","O"
"769","ἄρισται","O"
"770","ἔασι","O"
"771",",","O"
"772","Διώνη","GOD"
"773","τε","O"
"774","Ῥείη","O"
"775","τε","O"
"776","Ἰχναίη","O"
"777","τε","O"
"778","Θέμις","O"
"779","καὶ","O"
"780","ἀγάστονος","O"
"781","Ἀμφιτρίτη","O"
"782","ἄλλαι","O"
"783","τʼ","O"
"784","ἀθάναται","O"
"785","νόσφιν","O"
"786","λευκωλένου","O"
"787","Ἥρης","GOD"
"788","·","O"
"789","ἧστο","O"
