"ID","TOKEN","IS_PUNCT"
"1","ψευδοσοφιστὴς","FALSE"
"2","ἢ","FALSE"
"3","σολοικιστής","FALSE"
"4",".","TRUE"
"5","Λυκῖνος","FALSE"
"6","Ἆρά","FALSE"
"7","γε","FALSE"
"8","ὁ","FALSE"
"9","γνῶναι","FALSE"
"10","τὸν","FALSE"
"11","σολοικίζοντα","FALSE"
"12","δεινὸς","FALSE"
"13","οὗτος","FALSE"
"14","καὶ","FALSE"
"15","φυλάξασθαι","FALSE"
"16","μὴ","FALSE"
"17","σολοικίσαι","FALSE"
"18","δυνατός","FALSE"
"19",";","TRUE"
"20","σολοικιστής","FALSE"
"21","Ἐμοὶ","FALSE"
"22","μὲν","FALSE"
"23","δοκεῖ","FALSE"
"24",".","TRUE"
"25","Λυκῖνος","FALSE"
"26","Ὁ","FALSE"
"27","δέ","FALSE"
"28","γε","FALSE"
"29","μὴ","FALSE"
"30","φυλάξασθαι","FALSE"
"31","οὐδὲ","FALSE"
"32","γνῶναι","FALSE"
"33","τὸν","FALSE"
"34","οὕτως","FALSE"
"35","ἔχοντα","FALSE"
"36",";","TRUE"
"37","σολοικιστής","FALSE"
"38","Ἀληθῆ","FALSE"
"39","λὲγεις","FALSE"
"40",".","TRUE"
"41","Λυκῖνος","FALSE"
"42","Σὺ","FALSE"
"43","δὲ","FALSE"
"44","αὐτὸς","FALSE"
"45","φὴς","FALSE"
"46","οὐ","FALSE"
"47","σολοικίζειν","FALSE"
"48",",","TRUE"
"49","ἢ","FALSE"
"50","πῶς","FALSE"
"51","λέγωμεν","FALSE"
"52","περὶ","FALSE"
"53","σοῦ","FALSE"
"54",";","TRUE"
"55","σολοικιστής","FALSE"
"56","Ἀπαίδευτος","FALSE"
"57","γὰρ","FALSE"
"58","ἂν","FALSE"
"59","εἴην","FALSE"
"60",",","TRUE"
"61","εἰ","FALSE"
"62","σολοικίζοιμι","FALSE"
"63","τηλικοῦτος","FALSE"
"64","ὤν","FALSE"
"65",".","TRUE"
"66","Λυκῖνος","FALSE"
"67","Οὐκοῦν","FALSE"
"68","καὶ","FALSE"
"69","ἕτερον","FALSE"
"70","φωρᾶσαι","FALSE"
"71","δυνήσῃ","FALSE"
"72","τοῦτο","FALSE"
"73","δρῶντα","FALSE"
"74","καὶ","FALSE"
"75","ἐλέγξαι","FALSE"
"76","τὸν","FALSE"
"77","ἀρνούμενον","FALSE"
"78",";","TRUE"
"79","σολοικιστής","FALSE"
"80","Παντάπασί","FALSE"
"81","γε","FALSE"
"82",".","TRUE"
"83","Λυκῖνος","FALSE"
"84","Ἴθι","FALSE"
"85","νῦν","FALSE"
"86","ἐμοῦ","FALSE"
"87","λαβοῦ","FALSE"
"88","σολοικίζοντος","FALSE"
"89",",","TRUE"
"90","ἄρτι","FALSE"
"91","δὲ","FALSE"
"92","σολοικιῶ","FALSE"
"93",".","TRUE"
"94","σολοικιστής","FALSE"
"95","Οὐκοῦν","FALSE"
"96","εἰπέ","FALSE"
"97",".","TRUE"
"98","Λυκῖνος","FALSE"
"99","Ἀλλ","FALSE"
"100","ἔγωγε","FALSE"
"101","ἤδη","FALSE"
"102","τὸ","FALSE"
"103","δεινὸν","FALSE"
"104","εἴργασμαι","FALSE"
"105",",","TRUE"
"106","σὺ","FALSE"
"107","δὲ","FALSE"
"108","οὐκ","FALSE"
"109","ἐπέγνως","FALSE"
"110",".","TRUE"
"111","σολοικιστής","FALSE"
"112","Παίζεις","FALSE"
"113","ἔχων","FALSE"
"114",";","TRUE"
"115","Λυκῖνος","FALSE"
"116","Μὰ","FALSE"
"117","τοὺς","FALSE"
"118","θεούς","FALSE"
"119","·","TRUE"
"120","ἐπεὶ","FALSE"
"121","σολοικίσας","FALSE"
"122","ἔλαθόν","FALSE"
"123","σε","FALSE"
"124","ὡς","FALSE"
"125","οὐκ","FALSE"
"126","ἐπιστάμενού","FALSE"
"127",".","TRUE"
"128","αὖθις","FALSE"
"129","δὲ","FALSE"
"130","σκόπει","FALSE"
"131","·","TRUE"
"132","οὐ","FALSE"
"133","γάρ","FALSE"
"134","σέ","FALSE"
"135","φημι","FALSE"
"136","δύνασθαι","FALSE"
"137","κατανοῆσαι","FALSE"
"138",",","TRUE"
"139","ἐπεὶ","FALSE"
"140","ἃ","FALSE"
"141","μέν","FALSE"
"142","οἶσθ̓","FALSE"
"143",",","TRUE"
"144","ἃ","FALSE"
"145","δ","FALSE"
"146","οὐκ","FALSE"
"147","οἶσθα","FALSE"
"148",".","TRUE"
