"ID","TOKEN","IS_PUNCT"
"1","ἐπεὶ","FALSE"
"2","δὲ","FALSE"
"3","καιρὸς","FALSE"
"4","νηπίων","FALSE"
"5","παρῆλθέ","FALSE"
"6","μοι","FALSE"
"7",",","TRUE"
"8","ἦγέν","FALSE"
"9","με","FALSE"
"10","μήτηρ","FALSE"
"11","βασιλίδος","FALSE"
"12","πρὸς","FALSE"
"13","δώματα","FALSE"
"14",",","TRUE"
"15","ἅπαντα","FALSE"
"16","μυθεύσασα","FALSE"
"17","καὶ","FALSE"
"18","λέξασά","FALSE"
"19","μοι","FALSE"
"20","γένος","FALSE"
"21","πατρῷον","FALSE"
"22","καὶ","FALSE"
"23","θεοῦ","FALSE"
"24","δωρήματα","FALSE"
"25",".","TRUE"
"26","ἕως","FALSE"
"27","μὲν","FALSE"
"28","οὖν","FALSE"
"29","τὸν","FALSE"
"30","παιδὸς","FALSE"
"31","εἴχομεν","FALSE"
"32","χρόνον","FALSE"
"33",",","TRUE"
"34","τροφαῖσι","FALSE"
"35","βασιλικαῖσι","FALSE"
"36","καὶ","FALSE"
"37","παιδεύμασιν","FALSE"
"38","ἅπανθ᾽","FALSE"
"39","ὑπισχνεῖθ᾽","FALSE"
"40",",","TRUE"
"41","ὡς","FALSE"
"42","ἀπὸ","FALSE"
"43","σπλάγχνων","FALSE"
"44","ἑῶν","FALSE"
"45","·","TRUE"
"46","ἐπεὶ","FALSE"
"47","δὲ","FALSE"
"48","πλήρης","FALSE"
"49","κόλπος","FALSE"
"50","ἡμερῶν","FALSE"
"51","παρῆν","FALSE"
"52",",","TRUE"
"53","ἐξῆλθον","FALSE"
"54","οἴκων","FALSE"
"55","βασιλικῶν","FALSE"
"56","πρὸς","FALSE"
"57","ἔργα","FALSE"
"58","γάρ","FALSE"
"59","θυμός","FALSE"
"60","μ᾽","FALSE"
"61","ἄνωγε","FALSE"
"62","καὶ","FALSE"
"63","τέχνασμα","FALSE"
"64","βασιλέωσ","FALSE"
"65",".","TRUE"
"66","ὁρῶ","FALSE"
"67","δὲ","FALSE"
"68","πρῶτον","FALSE"
"69","ἄνδρας","FALSE"
"70","ἐν","FALSE"
"71","χειρῶν","FALSE"
"72","νόμῳ","FALSE"
"73",",","TRUE"
"74","τὸν","FALSE"
"75","μὲν","FALSE"
"76","τὸ","FALSE"
"77","γένος","FALSE"
"78","Ἑβραῖον","FALSE"
"79",",","TRUE"
"80","ὃν","FALSE"
"81","δ᾽","FALSE"
"82","Αἰγύπτιον","FALSE"
"83",".","TRUE"
"84","ἰδὼν","FALSE"
"85","δ᾽","FALSE"
"86","ἐρήμους","FALSE"
"87","καὶ","FALSE"
"88","παρόντα","FALSE"
"89","μηδένα","FALSE"
"90","ἐρρυσάμην","FALSE"
"91","ἀδελφόν","FALSE"
"92",",","TRUE"
"93","ὃν","FALSE"
"94","δ᾽","FALSE"
"95","ἔκτειν᾽","FALSE"
"96","ἐγώ","FALSE"
"97",",","TRUE"
"98","ἔκρυψα","FALSE"
"99","δ᾽","FALSE"
"100","ἄμμῳ","FALSE"
"101","τοῦτον","FALSE"
"102",",","TRUE"
"103","ὥστε","FALSE"
"104","μὴ","FALSE"
"105","εἰσιδεῖν","FALSE"
"106","ἕτερόν","FALSE"
"107","τιν᾽","FALSE"
"108","ἡμᾶς","FALSE"
"109","κἀπογυμνῶσαι","FALSE"
"110","φόνον","FALSE"
"111",".","TRUE"
"112","τῇ","FALSE"
"113","᾽παύριον","FALSE"
"114","δὲ","FALSE"
"115","πάλιν","FALSE"
"116","ἰδὼν","FALSE"
"117","ἄνδρας","FALSE"
"118","δύο","FALSE"
"119",",","TRUE"
"120","μάλιστα","FALSE"
"121","δ᾽","FALSE"
"122","αὐτοὺς","FALSE"
"123","συγγενεῖς","FALSE"
"124",",","TRUE"
"125","πατουμένους","FALSE"
"126","λέγω","FALSE"
"127","·","TRUE"
"128","τί","FALSE"
"129","τύπτεις","FALSE"
"130","ἀσθενέστερον","FALSE"
"131","σέθεν","FALSE"
"132",";","TRUE"
"133","ὁ","FALSE"
"134","δ᾽","FALSE"
"135","εἶπεν","FALSE"
"136","·","TRUE"
"137","ἡμῖν","FALSE"
"138","τίς","FALSE"
"139","σ᾽","FALSE"
"140","ἀπέστειλεν","FALSE"
"141","κριτήν","FALSE"
"142","ἢ","FALSE"
"143","᾽πιστάτην","FALSE"
"144","ἐνταῦθα","FALSE"
"145",";","TRUE"
"146","μὴ","FALSE"
"147","κτενεῖς","FALSE"
"148","σύ","FALSE"
"149","με","FALSE"
"150",",","TRUE"
"151","ὥσπερ","FALSE"
"152","τὸν","FALSE"
"153","ἐχθὲς","FALSE"
"154","ἄνδρα","FALSE"
"155",";","TRUE"
"156","καὶ","FALSE"
"157","δείσας","FALSE"
"158","ἐγώ","FALSE"
"159","ἔλεξα","FALSE"
"160","·","TRUE"
"161","πῶς","FALSE"
"162","ἐγένετο","FALSE"
"163","συμφανὲς","FALSE"
"164","τόδε","FALSE"
"165",";","TRUE"
"166","καὶ","FALSE"
"167","πάντα","FALSE"
"168","βασιλεῖ","FALSE"
"169","ταῦτ᾽","FALSE"
"170","ἀπήγγειλεν","FALSE"
"171","ταχύ","FALSE"
"172","·","TRUE"
"173","ζητεῖ","FALSE"
"174","δὲ","FALSE"
"175","Φαραὼ","FALSE"
"176","τὴν","FALSE"
"177","ἐμὴν","FALSE"
"178","ψυχὴν","FALSE"
"179","λαβεῖν","FALSE"
"180","·","TRUE"
"181","ἐγὼ","FALSE"
"182","δ᾽","FALSE"
"183","ἀκούσας","FALSE"
"184","ἐκποδὼν","FALSE"
"185","μεθίσταμαι","FALSE"
"186","καὶ","FALSE"
"187","νῦν","FALSE"
"188","πλανῶμαι","FALSE"
"189","γῆν","FALSE"
"190","ἐπ᾽","FALSE"
"191","ἀλλοτέρμονα","FALSE"
"192",".","TRUE"
