"ID","TOKEN","LEMMA"
"1","Σοφἰα","Σοφἰα"
"2","Σολομῶντος","Σολομῶντος"
"3","Ἐβόησα","Ἐβόησας"
"4","πρὸς","πρός"
"5","κύριον","κύριος"
"6","ἐν","ἐν"
"7","τῷ","ὁ"
"8","θλίβεσθαί","θλίβεσθή"
"9","με","ἐγώ"
"10","εἰς","εἰς"
"11","τέλος","τέλος"
"12","πρὸς","πρός"
"13","τὸν","ὁ"
"14","θεὸν","θεός"
"15","ἐν","ἐν"
"16","τῷ","ὁ"
"17","ἐπιθέσθαι","ἐπιτίθημι"
"18","ἁμαρτωλούς","ἁμαρτωλός"
"19","ἐξάπινα","ἐξάπινος"
"20","ἠκούσθη","ἀκούω"
"21","κραυγὴ","κραυγή"
"22","πολέμου","πόλεμος"
"23","ἐνώπιόν","ἐνώπιον"
"24","μου","ἐγώ"
"25","ἐπακούσεταί","ἐπακούσω"
"26","μου","ἐγώ"
"27","ὅτι","ὅτι"
"28","ἐπλήσθη","πίμπλημι"
"29","δικαιοσύνης","δικαιοσύνη"
"30","ἐλογισάμην","λογίζομαι"
"31","ἐν","ἐν"
"32","καρδίᾳ","καρδία"
"33","μου","ἐγώ"
"34","ὅτι","ὅτι"
"35","ἐπλήσθη","πίμπλημι"
"36","δικαιοσύνης","δικαιοσύνη"
"37","ἐν","ἐν"
"38","τῷ","ὁ"
"39","εὐθυνῆσαί","εὐθυνέω"
"40","με","ἐγώ"
"41","καὶ","καί"
"42","πολλὴν","πολύς"
"43","γενέσθαι","γίγνομαι"
"44","ἐν","ἐν"
"45","τέκνοις","τέκνον"
"46","ὁ","ὁ"
"47","πλοῦτος","πλοῦτος"
"48","αὐτῶν","αὐτός"
"49","διεδόθη","διαδίδωμι"
"50","εἰς","εἰς"
"51","πᾶσαν","πᾶς"
"52","τὴν","ὁ"
"53","γῆν","γῆ"
"54","καὶ","καί"
"55","ἡ","ὁ"
"56","δόξα","δόξα"
"57","αὐτῶν","αὐτός"
"58","ἕως","ἕως"
"59","ἐσχάτου","ἔσχατος"
"60","τῆς","ὁ"
"61","γῆς","γῆ"
"62","ὑψώθησαν","ὑψώθησαν"
"63","εἶπαν","λέγω"
"64","Οὐ","οὐ"
"65","μὴ","μή"
"66","πέσωσιν","πίπτω"
"67","καὶ","καί"
"68","ἐξύβρισαν","ἐξυβρίζω"
"69","ἐν","ἐν"
"70","τοῖς","ὁ"
"71","ἀγαθοῖς","ἀγαθός"
"72","αὐτῶν","αὐτός"
"73","καὶ","καί"
"74","οὐκ","οὐ"
"75","ἤνεγκαν","φέρω"
"76","αἱ","ὁ"
"77","ἁμαρτίαι","ἁμαρτία"
"78","αὐτῶν","αὐτός"
"79","ἐν","ἐν"
"80","ἀποκρύφοις","ἀπόκρυφος"
"81","καὶ","καί"
"82","ἐγὼ","ἐγώ"
"83","οὐκ","οὐ"
"84","ᾔδειν","οἶδα"
"85","αἱ","ὁ"
"86","ἀνομίαι","ἀνομία"
"87","αὐτῶν","αὐτός"
"88","ὑπὲρ","ὑπέρ"
"89","τὰ","ὁ"
"90","πρὸ","πρό"
"91","αὐτῶν","αὐτός"
"92","ἔθνη","ἔθνος"
"93","Ψαλμὸς","Ψαλμός"
"94","τῷ","ὁ"
"95","Σαλωμῶν","Σαλωμός"
"96","περὶ","περί"
"97","Ἱερουσαλὴμ","Ἱεροσόλυμα"
"98","Ἐν","ἐν"
"99","τῷ","ὁ"
"100","ὑπερηφανεύεσθαι","ὑπερηφανεύω"
"101","τὸν","ὁ"
"102","ἁμαρτωλὸν","ἁμαρτωλός"
"103","ἐν","ἐν"
"104","κριῷ","κριός"
"105","κατέβαλλε","καταβάλλω"
"106","τείχη","τεῖχος"
"107","ὀχυρά","ὀχυρός"
"108",",",","
"109","καὶ","καί"
"110","οὐκ","οὐ"
"111","ἐκώλυσας","ἐκώλυζω"
"112","ἀνέβησαν","ἀναβαίνω"
"113","ἐπὶ","ἐπί"
"114","τὸ","ὁ"
"115","θυσιαστήριόν","θυσιαστήριον"
"116","σου","σύ"
"117","ἔθνη","ἔθνος"
"118","ἀλλότρια","ἀλλότριος"
"119","κατεπατοῦσαν","κατεπατοῦζω"
"120","ἐν","ἐν"
"121","ἀνθ᾿","ἀνθ"
"122","ὧν","ὅς"
"123","οἱ","ὁ"
"124","υἱοὶ","υἱός"
"125","Ἰερουσαλὴμ","Ἰεροσόλυμα"
"126","ἐμίαναν","ἐμίανα"
"127","τὰ","ὁ"
"128","ἅγια","ἅγιον"
"129","κυρίου","κύριος"
"130","ἐβεβηλοῦσαν","ἐβεβηλοῦσαν"
"131","τὰ","ὁ"
"132","δῶρα","δῶρον"
"133","τοῦ","ὁ"
"134","θεοῦ","θεός"
"135","ἐν","ἐν"
"136","ἀνομίαις","ἀνομία"
"137","ἕνεκεν","ἕνεκα"
"138","τούτων","οὗτος"
"139","εἶπεν","λέγω"
"140","Ἀπορίψατε","Ἀπορίψατος"
"141","αὐτὰ","αὐτός"
"142","μακρὰν","μακράν"
"143","ἀπ᾿","ἀπ᾿"
"144","ἐμοῦ","ἐμός"
"145","οὐκ","οὐ"
"146","ἐνέδωκεν","ἐνδίδωμι"
"147","τούτων","οὗτος"
"148","εἶπεν","λέγω"
"149","αὐτοῖς","αὐτός"
"150","τὸ","ὁ"
"151","κάλλος","κάλλος"
"152","τῆς","ὁ"
"153","δόξης","δόξα"
"154","αὐτοῦ","αὐτός"
"155","ἐξουθενώθη","ξουθενόω"
"156","ἐνώπιον","ἐνώπιον"
"157","τοῦ","ὁ"
"158","θεοῦ","θεός"
"159","ἠτιμώθη","ἀτιμόω"
"160","ἕως","ἕως"
"161","εἰς","εἰς"
"162","τέλος","τέλος"
"163","υἱοὶ","υἱός"
"164","καὶ","καί"
"165","θυγατέρες","θυγάτηρ"
"166","ἐν","ἐν"
"167","αἰχμαλωσίᾳ","αἰχμαλωσία"
"168","πονηρᾷ","πονηρός"
"169","ἐν","ἐν"
"170","σφραγῖδι","σφραγίς"
"171","ὁ","ὁ"
"172","τράχηλος","τράχηλος"
"173","αὐτῶν","αὐτός"
"174","ἐν","ἐν"
"175","ἐπισήμῳ","ἐπισῆμος"
"176","ἐν","ἐν"
"177","τοῖς","ὁ"
"178","ἔθνεσιν","ἔθνος"
"179","Κατὰ","κατά"
"180","τὰς","ὁ"
"181","ἁμαρτίας","ἁμαρτία"
"182","αὐτῶν","αὐτός"
"183","ἐποίησεν","ποιέω"
"184","αὐτοῖς","αὐτός"
"185","ὅτι","ὅτι"
"186","ἐνκατέλιπεν","ἐγκαταλείπω"
"187","αὐτοὺς","αὐτός"
"188","εἰς","εἰς"
"189","χεῖρας","χείρ"
"190","κατεσχυόντων","κατεσχυόντων"
"191","ἀπέστρεψεν","ἀποστρέφω"
"192","γὰρ","γάρ"
"193","τὸ","ὁ"
"194","πρόσωπον","πρόσωπον"
"195","αὐτοῦ","αὐτός"
"196","ἀπὸ","ἀπό"
"197","ἐλέους","ἔλεος"
"198","αὐτῶν","αὐτός"
"199","νέον","νέος"
"200","καὶ","καί"
"201","πρεσβήτην","πρεσβήτης"
"202","καὶ","καί"
"203","τέκνα","τέκνον"
"204","αὐτῶν","αὐτός"
"205","εἰς","εἰς"
"206","ἅπαξ","ἅπαξ"
"207","ἐποίησεν","ποιέω"
"208","εἰς","εἰς"
"209","ἅπαξ","ἅπαξ"
"210","τοῦ","ὁ"
"211","μὴ","μή"
"212","ἀκούον","ἀκούω"
"213","καὶ","καί"
"214","ὁ","ὁ"
"215","οὐρανὸς","οὐρανός"
"216","ἐβαρυθύμησε","ἐβαρυθύμησε"
"217","καὶ","καί"
"218","ἡ","ὁ"
"219","γῆ","γῆ"
"220","βδελύξατο","Βδελύξατο"
"221","αὐτούς","αὐτός"
"222","ὅτι","ὅτι"
"223","οὐκ","οὐ"
"224","ἐποίησεν","ποιέω"
"225","πᾶς","πᾶς"
"226","ἄνθρωπος","ἄνθρωπος"
"227","ἐπ᾿","ἐπ"
"228","αὐτῆς","αὐτός"
"229","ὅσα","ὅσος"
"230","ἐποίησαν","ποιέω"
"231","καὶ","καί"
"232","γνώσεται","γιγνώσκω"
"233","ἡ","ὁ"
"234","γῆ","γῆ"
"235","τὰ","ὁ"
"236","κρίματά","κρίμα"
"237","σου","σύ"
"238","πάντα","πᾶς"
"239","τὰ","ὁ"
"240","δίκαια","δίκαιος"
"241","ὁ","ὁ"
"242","θεός","θεός"
"243","Ἔστησαν","Ἔστησα"
"244","τοὺς","ὁ"
"245","υἱοὺς","υἱός"
"246","ηδὴμ","ηδὴμ"
"247","εἰς","εἰς"
"248","ἐμπαιγὸν","ἐμπαιγός"
"249","ἀντὶ","ἀντί"
"250","πορνῶν","πόρνη"
"251","ἐν","ἐν"
"252","αὐτῇ","αὐτός"
"253","πᾶς","πᾶς"
"254","ὁ","ὁ"
"255","πορευόμενος","πορεύομαι"
"256","εἰσεπορεύετο","εἰσεπορεύω"
"257","κατέναντι","κατέναντι"
"258","τοῦ","ὁ"
"259","ἡλίου","ἥλιος"
"260","ἐνέπεζον","ἐνέπεζον"
"261","τάς","ὁ"
"262","ἀνομίας","ἀνομία"
"263","αὐτῶν","αὐτός"
"264","καθὰ","καθά"
"265","ἐποίουν","ποιέω"
"266","αὐτοί","αὐτός"
"267","ἀπέναντι","ἀπέναντι"
"268","τοῦ","ὁ"
"269","ἡλίου","ἥλιος"
"270","παρεδειγμάτισαν","παρεδειγμάτισαν"
"271","ἀδικίας","ἀδικία"
"272","αὐτῶν","αὐτός"
"273","θυγατέρας","θυγάτηρ"
"274","Ἱερουσαλὴμ","Ἱεροσόλυμα"
"275","βέβηλοι","βέβηλος"
"276","κατὰ","κατά"
"277","τὸ","ὁ"
"278","κρίμα","κρίμα"
"279","σου","σύ"
"280","ἀνθ᾿","ἀνθ"
"281","ὧν","ὅς"
"282","αὐταὶ","οὗτος"
"283","ἐμιαίωσαν","ἐμιαίωσαν"
"284","αὑτὰς","ἑαυτοῦ"
"285","ἐν","ἐν"
"286","φυρμῷ","φυρμός"
"287","ἀναμείξεως","ἀναμείξις"
"288","τὴν","ὁ"
"289","κοιλίαν","κοιλία"
"290","μου","ἐγώ"
"291","καὶ","καί"
"292","τὰ","ὁ"
"293","σπλάγχνα","σπλάγχνον"
"294","μου","ἐγώ"
"295","πονῶ","πονέω"
"296","ἐπὶ","ἐπί"
"297","τούτοις","οὗτος"
"298","Ἐγὼ","ἐγώ"
"299","δικαιώσω","δικαιόω"
"300","σε","σύ"
"301","ὁ","ὁ"
"302","θεός","θεός"
"303","ἐν","ἐν"
"304","εὐθύτητι","εὐθύτης"
"305","καρδίας","καρδία"
"306","ὅτι","ὅτι"
"307","ἐν","ἐν"
"308","τοῖς","ὁ"
"309","κρίμασίν","κρίμασις"
"310","σου","σύ"
"311","ἡ","ὁ"
"312","δικαιοσύνη","δικαιοσύνη"
"313","σου","σύ"
"314","ὁ","ὁ"
"315","θεός","θεός"
"316","ὅτι","ὅτι"
"317","ἀπέδωκας","ἀποδίδωμι"
"318","τοῖς","ὁ"
"319","ἁμαρτωλοῖς","ἁμαρτωλός"
"320","κατὰ","κατά"
"321","τὰ","ὁ"
"322","ἔργα","ἔργον"
"323","αὐτῶν","αὐτός"
"324","καὶ","καί"
"325","κατὰ","κατά"
"326","τὰς","ὁ"
"327","ἁμαρτίας","ἁμαρτία"
"328","αὐτῶν","αὐτός"
"329","τὰς","ὁ"
"330","πονηρὰς","πονηρός"
"331","σφόδραν","σφόδρα"
"332","ἕναμψας","ἕναμπτω"
"333","τὰς","ὁ"
"334","ἁμαρτίας","ἁμαρτία"
"335","αὐτῶν","αὐτός"
"336","ἵνα","ἵνα"
"337","φανῇ","φαίνω"
"338","τὸ","ὁ"
"339","κρίμα","κρίμα"
"340","σου","σύ"
"341","ἐξήλιψας","ἐξήλιφω"
"342","τὸ","ὁ"
"343","μνημόσυνον","μνημόσυνον"
"344","αὐτῶν","αὐτός"
"345","ἀπὸ","ἀπό"
"346","τῆς","ὁ"
