"ID","TOKEN","NER"
"1","Τοσαῦτα","O"
"2","καὶ","O"
"3","περὶ","O"
"4","τούτων","O"
"5","ὁ","O"
"6","Πολυΐστωρ","O"
"7",".","O"
"8","Καὶ","O"
"9","περὶ","O"
"10","Μωσέως","PERSON"
"11","δὲ","O"
"12","ὁ","O"
"13","αὐτὸς","O"
"14","πλεῖστα","O"
"15","παρατίθεται","O"
"16",",","O"
"17","ὧν","O"
"18","καὶ","O"
"19","αὐτῶν","O"
"20","ἐπακοῦσαι","O"
"21","ἄξιον","O"
"22","·","O"
"23","ΕΥΠΟΛΕΜΟΥ","O"
"24","ΠΕΡΙ","O"
"25","ΜΩΣΕΩΣ","GOD"
"26","Εὐπόλεμος","O"
"27","δέ","O"
"28","φησι","O"
"29","τὸν","O"
"30","Μωσῆν","PERSON"
"31","πρῶτον","O"
"32","σοφὸν","O"
"33","γενέσθαι","O"
"34","καὶ","O"
"35","γράμματα","O"
"36","παραδοῦναι","O"
"37","τοῖς","O"
"38","Ἰουδαίοις","NORP"
"39","πρῶτον","O"
"40",",","O"
"41","παρὰ","O"
"42","δὲ","O"
"43","Ἰουδαίων","NORP"
"44","Φοίνικας","NORP"
"45","παραλαβεῖν","O"
"46",",","O"
"47","Ἕλληνας","NORP"
"48","δὲ","O"
"49","παρὰ","O"
"50","Φοινίκων","NORP"
"51",",","O"
"52","νόμους","O"
"53","τε","O"
"54","πρῶτον","O"
"55","γράψαι","O"
"56","Μωσῆν","PERSON"
"57","τοῖς","O"
"58","Ἰουδαίοις","NORP"
"59",".","O"
