"ID","TOKEN","UPOS"
"1","äü.","PUNCT"
"2","Ἤδη","ADV"
"3","δὲ","ADV"
"4","καὶ","ADV"
"5","ἐν","ADP"
"6","ἑβδομάσι","NOUN"
"7","πᾶς","DET"
"8","ὁ","DET"
"9","κόσμος","NOUN"
"10","κυκλεῖται","VERB"
"11","τῶν","DET"
"12","ζῳογονουμένων","VERB"
"13","καὶ","CCONJ"
"14","τῶν","DET"
"15","φυομένων","VERB"
"16","ἁπάντων","ADJ"
"17",".","PUNCT"
"18","τάς","DET"
"19","τε","CCONJ"
"20","τῶν","DET"
"21","ἡλικιῶν","NOUN"
"22","μεταβολὰς","NOUN"
"23","κατὰ","ADP"
"24","ἑβδομάδα","NOUN"
"25","γίνεσθαι","VERB"
"26","Σόλωνος","PROPN"
"27","αἱ","DET"
"28","ἐλεγεῖαι","NOUN"
"29","δηλοῦσιν","VERB"
"30","ὧδέ","ADV"
"31","πως","ADV"
"32","·","PUNCT"
