"ID","TOKEN","IS_STOP"
"1","Διήγησις","FALSE"
"2","καὶ","TRUE"
"3","πολιτεία","FALSE"
"4","Ἀδὰμ","FALSE"
"5","καὶ","TRUE"
"6","Εὔας","FALSE"
"7","τῶν","TRUE"
"8","πρωτοπλάστων","FALSE"
"9",",","FALSE"
"10","ἀποκαλυφθεῖσα","FALSE"
"11","παρὰ","TRUE"
"12","θεοῦ","FALSE"
"13","Μωϋσῇ","FALSE"
"14","τῷ","TRUE"
"15","θεράποντι","FALSE"
"16","αὐτοῦ","TRUE"
"17",",","FALSE"
"18","ὅτε","FALSE"
"19","τὰς","TRUE"
"20","πλάκας","FALSE"
"21","τοῦ","TRUE"
"22","νόμου","FALSE"
"23","τῆς","TRUE"
"24","διαθήκης","FALSE"
"25","ἐκ","TRUE"
"26","χειρὸς","FALSE"
"27","κυρίου","FALSE"
"28","ἐδέξατο","FALSE"
"29",",","FALSE"
"30","διδαχθεὶς","FALSE"
"31","ὑπὸ","TRUE"
"32","τοῦ","TRUE"
"33","ἀρχαγγέλου","FALSE"
"34","Μιχαήλ","FALSE"
"35",".","FALSE"
"36","Αὕτη","TRUE"
"37","ἡ","TRUE"
"38","διήγησις","FALSE"
"39","Ἀδὰμ","FALSE"
"40","καὶ","TRUE"
"41","Εὔας","FALSE"
"42",".","FALSE"
"43","Μετὰ","TRUE"
"44","τὸ","TRUE"
"45","ἐξελθεῖν","FALSE"
"46","αὐτοὺς","TRUE"
"47","ἐκ","TRUE"
"48","τοῦ","TRUE"
"49","παραδείσου","FALSE"
"50","ἔλαβεν","FALSE"
"51","Ἀδὰμ","FALSE"
"52","Εὔαν","FALSE"
"53","τὴν","TRUE"
"54","γυναῖκα","FALSE"
"55","αὐτοῦ","TRUE"
"56","καὶ","TRUE"
"57","ἀνῆλθεν","FALSE"
"58","εἰς","TRUE"
"59","τὴν","TRUE"
"60","ἀνατολήν","FALSE"
"61",".","FALSE"
"62","καὶ","TRUE"
"63","ἔμεινεν","FALSE"
"64","ἐκεῖ","FALSE"
"65","ἔτη","FALSE"
"66","δέκα","FALSE"
"67","ὀκτὼ","FALSE"
"68","καὶ","TRUE"
"69","μῆνας","FALSE"
"70","δύο","FALSE"
"71",",","FALSE"
"72","καὶ","TRUE"
"73","ἐν","TRUE"
"74","γαστρὶ","FALSE"
"75","εἴληφεν","FALSE"
"76","ἡ","TRUE"
"77","Εὔα","FALSE"
"78","καὶ","TRUE"
