"ID","TOKEN","IS_PUNCT"
"1","πορευθέντος","FALSE"
"2","οὖν","FALSE"
"3","εἰς","FALSE"
"4","τὴν","FALSE"
"5","πόλιν","FALSE"
"6","τοῦ","FALSE"
"7","Ἐμμὼρ","FALSE"
"8","καὶ","FALSE"
"9","τοὺς","FALSE"
"10","ὑποτασσομένους","FALSE"
"11","παρακαλοῦντος","FALSE"
"12","περιτέμνεσθαι","FALSE"
"13",",","TRUE"
"14","ἕνα","FALSE"
"15","τῶν","FALSE"
"16","Ἰακὼβ","FALSE"
"17","υἱῶν","FALSE"
"18","τὸ","FALSE"
"19","ὄνομα","FALSE"
"20","Συμεῶνα","FALSE"
"21","διαγνῶναι","FALSE"
"22","τόν","FALSE"
"23","τε","FALSE"
"24","Ἐμμὼρ","FALSE"
"25","καὶ","FALSE"
"26","τὸν","FALSE"
"27","Συχὲμ","FALSE"
"28","ἀνελεῖν","FALSE"
"29",",","TRUE"
"30","τὴν","FALSE"
"31","ὕβριν","FALSE"
"32","τῆς","FALSE"
"33","ἀδελφῆς","FALSE"
"34","μὴ","FALSE"
"35","βουληθέντα","FALSE"
"36","πολιτικῶς","FALSE"
"37","ἐνεγκεῖν","FALSE"
"38","·","TRUE"
"39","ταῦτα","FALSE"
"40","δὲ","FALSE"
"41","διαγνόντα","FALSE"
"42","Λευὶν","FALSE"
"43","τῷ","FALSE"
"44","ἀδελφῷ","FALSE"
"45","κοινώσασθαι","FALSE"
"46","·","TRUE"
"47","λαβόντα","FALSE"
"48","δ᾽","FALSE"
"49","αὐτὸν","FALSE"
"50","συγκάταινον","FALSE"
"51","ἐπὶ","FALSE"
"52","τὴν","FALSE"
"53","πρᾶξιν","FALSE"
"54","παρορμῆσαι","FALSE"
"55",",","TRUE"
"56","λόγιον","FALSE"
"57","προφερόμενον","FALSE"
"58","τὸν","FALSE"
"59","θεὸν","FALSE"
"60","ἀνελεῖν","FALSE"
"61","φάμενον","FALSE"
"62","τοῖς","FALSE"
"63","Ἁβραὰμ","FALSE"
"64","ἀπογόνοις","FALSE"
"65","δέκα","FALSE"
"66","ἔθνη","FALSE"
"67","δώσειν","FALSE"
"68",".","TRUE"
"69","φησὶ","FALSE"
"70","δὲ","FALSE"
"71","οὕτως","FALSE"
"72","ὁ","FALSE"
"73","Συμεὼν","FALSE"
"74","πρὸς","FALSE"
"75","τὸν","FALSE"
"76","Λευίν","FALSE"
"77","·","TRUE"
"78","Εὖ","FALSE"
"79","γὰρ","FALSE"
"80","ἐγὼ","FALSE"
"81","μῦθόν","FALSE"
"82","γε","FALSE"
"83","πεπυσμένος","FALSE"
"84","εἰμὶ","FALSE"
"85","θεοῖο","FALSE"
"86","·","TRUE"
"87","δώσειν","FALSE"
"88","γάρ","FALSE"
"89","ποτ᾽","FALSE"
"90","ἔφησε","FALSE"
"91","δέκ᾽","FALSE"
"92","ἔθνεα","FALSE"
"93","παισὶν","FALSE"
"94","Ἁβραάμ","FALSE"
"95",".","TRUE"
